xh,xsq,jgmc,dz,cws,xfst,kfll,rjzl,smfw,qt,jgsx,lxdh,hyzgbm,jddh,gfwx
221,西陵区,清波路社区居家养老服务中心,西陵区-葛洲坝街办-清波路社区,10,1,1,1,1,,街道（乡镇）,18907209825,西陵区民政局,0717-6918238,
222,西陵区,锦绣社区居家养老服务站,西陵区-葛洲坝街办-锦绣社区,5,1,1,1,1,,社区,18671781313,西陵区民政局,0717-6918238,
223,西陵区,东方社区居家养老服务站,西陵区-葛洲坝街办-东方社区,10,1,1,1,1,,社区,18608600055,西陵区民政局,0717-6918238,
224,西陵区,石子岭社区居家养老服务站,西陵区-葛洲坝街办-石子岭社区,2,0,1,1,1,,社区,18907209825,西陵区民政局,0717-6918238,
225,西陵区,西峡社区居家养老服务站,西陵区-葛洲坝街办-西峡社区,2,0,1,1,1,,社区,15171775108,西陵区民政局,0717-6918238,
226,西陵区,东湖社区居家养老服务站,西陵区-葛洲坝街办-东湖社区,1,1,1,1,1,,社区,15972727177,西陵区民政局,0717-6918238,
227,西陵区,长樵溪社区居家养老服务站,西陵区-葛洲坝街办-长樵溪社区,2,0,1,1,1,,社区,15872520791,西陵区民政局,0717-6918238,
228,西陵区,果园路社区居家养老服务中心,西陵区-云集街办-果园路社区,4,1,1,1,1,,街道（乡镇）,18671720419,西陵区民政局,0717-6918238,
229,西陵区,白龙井社区居家养老服务站,西陵区-云集街办-白龙井社区,10,1,1,1,1,,社区,13687277725,西陵区民政局,0717-6918238,
230,西陵区,桃花岭社区居家养老服务站,西陵区-云集街办-桃花岭社区,10,1,1,1,0,,社区,15608600766,西陵区民政局,0717-6918238,
231,西陵区,山庄路社区居家养老服务站,西陵区-云集街办-山庄路社区,4,1,1,1,1,,社区,18572390959,西陵区民政局,0717-6918238,
232,西陵区,小林园社区居家养老服务站,西陵区-云集街办-小林园社区,4,1,1,1,1,,社区,17762879414,西陵区民政局,0717-6918238,
233,西陵区,夷陵路社区居家养老服务站,西陵区-云集街办-夷陵路社区,2,0,0,1,0,,社区,13545730121,西陵区民政局,0717-6918238,
234,西陵区,赵家湾社区居家养老服务站,西陵区-云集街办-赵家湾社区,1,1,1,1,1,,社区,18071324818,西陵区民政局,0717-6918238,
235,西陵区,二马路社区居家养老服务站,西陵区-云集街办-二马路社区,1,1,0,0,0,,社区,13477838369,西陵区民政局,0717-6918238,
236,西陵区,北苑街道东山花园社区居家养老服务中心,西陵区-北苑管理区-东山花园社区,10,1,1,1,1,,街道（乡镇）,13886680647,西陵区民政局,0717-6918238,
237,西陵区,北苑街道城东社区居家养老服务站,西陵区-北苑管理区-城东社区,8,1,1,1,1,,社区,13886680647,西陵区民政局,0717-6918238,
238,西陵区,北苑街道东山花园社区居家养老服务站（原厦门路社区）,西陵区-北苑管理区-东山花园社区,0,0,1,1,1,,社区,13908602688,西陵区民政局,0717-6918238,
239,西陵区,南苑社区居家养老服务站,西陵区-南苑管理区-南苑社区,0,0,0,0,0,,社区,13707203031,西陵区民政局,0717-6918238,
240,西陵区,长江社区居家养老服务站,西陵区-南苑管理区-长江社区,0,0,0,0,0,,社区,13477013201,西陵区民政局,0717-6918238,
241,西陵区,东苑街道汕头路社区居家养老服务站,西陵区-东苑管理区-汕头路社区,4,0,1,1,1,,社区,15308601693,西陵区民政局,0717-6918238,
242,西陵区,东苑街道珠海路社区居家养老服务站,西陵区-东苑管理区-珠海路社区,1,1,1,1,1,,社区,15671072978,西陵区民政局,0717-6918238,
243,西陵区,东苑街道青岛路社区居家养老服务站,西陵区-东苑管理区-青岛路社区,10,0,1,1,1,,社区,19986651413,西陵区民政局,0717-6918238,
244,西陵区,土街头社区居家养老服务站,西陵区-西陵街办-土街头社区,9,1,1,1,1,,社区,15872456019,西陵区民政局,0717-6918238,
245,西陵区,铁路坝社区居家养老服务站,西陵区-西陵街办-铁路坝社区,1,1,1,1,1,,社区,13997690277,西陵区民政局,0717-6918238,https://data.yichang.gov.cn/karma/pic/1ab53979-871f-44d7-a3b3-03cb7e0aa7a8.png
246,西陵区,营盘路社区居家养老服务站,西陵区-西陵街办-营盘路社区,6,1,1,1,0,,社区,13687277725,西陵区民政局,0717-6918238,
247,西陵区,刘家大堰社区居家养老服务站,西陵区-西陵街办-刘家大堰社区,2,1,1,1,1,,社区,188717777715,西陵区民政局,0717-6918238,
248,西陵区,绿萝路社区居家养老服务站,西陵区-西陵街办-绿萝路社区,1,1,0,1,1,,社区,18827280596,西陵区民政局,0717-6918238,
249,西陵区,常刘路社区居家养老服务站,西陵区-西陵街办-常刘路社区,1,0,0,1,1,,社区,13972604079,西陵区民政局,0717-6918238,
250,西陵区,船柴社区居家养老服务站,西陵区-西陵街办-船柴社区,0,0,1,1,1,,社区,13986815646,西陵区民政局,0717-6918238,
251,西陵区,香锦社区居家养老服务站,西陵区-西陵街办-香锦社区,1,0,0,1,0,,社区,18972029399,西陵区民政局,0717-6918238,
252,西陵区,石板溪社区居家养老服务站,西陵区-西陵街办-石板溪社区,1,1,1,1,1,,社区,13986791666,西陵区民政局,0717-6918238,
253,西陵区,四方堰社区居家养老服务中心,西陵区-学院街办-四方堰社区,10,1,1,1,1,,街道（乡镇）,13117286728,西陵区民政局,0717-6918238,
254,西陵区,墨池巷社区居家养老服务站,西陵区-学院街办-墨池巷社区,10,1,1,1,1,,社区,13807207469,西陵区民政局,0717-6918238,
255,西陵区,气象台社区居家养老服务站,西陵区-学院街办-气象台社区,10,1,0,1,1,,社区,13117292988,西陵区民政局,0717-6918238,
256,西陵区,镇平路社区居家养老服务站,西陵区-夜明珠街办-镇平路社区,1,0,0,1,1,,社区,13807205016,西陵区民政局,0717-6918238,
257,西陵区,镇境山社区居家养老服务站,西陵区-夜明珠街办-镇境山社区,1,0,0,1,1,,社区,13997743616,西陵区民政局,0717-6918238,
258,西陵区,西陵街道社区居家养老服务中心,西陵区-西陵街办-樵湖岭社区,10,1,1,1,0,,街道（乡镇）,13997656896,西陵区民政局,0717-6918238,
259,西陵区,运河佳苑居家养老服务站,西陵区-南苑管理区-苏家榜社区,4,1,1,1,1,,社区,18071319310,西陵区民政局,0717-6918238,
260,伍家岗区,大公桥街道隆康路社区居家养老服务站,伍家岗区-大公桥街办-新隆康路社区,3,0,1,1,1,,社区,17671933133,伍家岗区民政局,0717-6591521,
261,伍家岗区,大公桥街道胜利四路社区居家养老服务站,伍家岗区-大公桥街办-胜利四路社区,2,0,0,1,1,,社区,18071311056,伍家岗区民政局,0717-6591521,
262,伍家岗区,大公桥街道胜利二路社区居家养老服务站,伍家岗区-大公桥街办-胜利二路社区,2,0,0,1,1,,社区,18986783799,伍家岗区民政局,0717-6591521,
263,伍家岗区,大公桥街道金家台社区居家养老服务站,伍家岗区-大公桥街办-金家台社区,2,0,0,1,1,,社区,17671937887,伍家岗区民政局,0717-6591521,
264,伍家岗区,伍家乡福久源社区居家养老服务站,伍家岗区-伍家乡-福久源社区,2,0,1,1,1,,社区,18071310798,伍家岗区民政局,0717-6591521,
265,伍家岗区,伍家乡鑫鼎社区居家养老服务站,伍家岗区-伍家乡-鑫鼎社区,2,1,0,1,1,,社区,17707173930,伍家岗区民政局,0717-6591521,
266,伍家岗区,伍家乡枫香树社区居家养老服务站,伍家岗区-伍家乡-枫香树社区,2,0,1,1,1,,社区,18071310080,伍家岗区民政局,0717-6591521,
267,伍家岗区,伍家乡张家湾社区居家养老服务站,伍家岗区-伍家乡-张家湾社区,5,0,1,1,1,,社区,18071310483,伍家岗区民政局,0717-6591521,
268,伍家岗区,伍家乡东站路社区居家养老服务站,伍家岗区-伍家乡-东站路社区,5,0,1,1,1,,社区,18071310922,伍家岗区民政局,0717-6591521,
269,伍家岗区,伍家乡柏临河路社区居家养老服务站,伍家岗区-伍家乡-柏临河路社区,5,0,1,1,1,,社区,18071316450,伍家岗区民政局,0717-6591521,
270,伍家岗区,伍家乡花溪路社区居家养老服务站,伍家岗区-伍家乡-花溪路社区,2,1,1,1,1,,社区,18071313474,伍家岗区民政局,0717-6591521,
271,伍家岗区,伍家乡三峡物流园社区居家养老服务站,伍家岗区-伍家乡-三峡物流园社区,2,0,1,1,1,,社区,13277232205,伍家岗区民政局,0717-6591521,
272,伍家岗区,伍家乡金巴岭社区居家养老服务站,伍家岗区-伍家乡-金巴岭社区,1,0,1,1,1,,社区,18071313887,伍家岗区民政局,0717-6591521,
273,伍家岗区,万寿桥街道港务社区居家养老服务中心,伍家岗区-万寿桥街办-港务社区,15,1,1,1,1,,街道（乡镇）,13469823967,伍家岗区民政局,0717-6591521,
274,伍家岗区,万寿桥街道杨岔路社区居家养老服务站,伍家岗区-万寿桥街办-杨岔路社区,2,1,1,1,1,,社区,15997644147,伍家岗区民政局,0717-6591521,
275,伍家岗区,万寿桥街道建设社区居家养老服务站,伍家岗区-万寿桥街办-建设社区,2,1,1,1,1,,社区,15997644147,伍家岗区民政局,0717-6591521,
276,伍家岗区,万寿桥街道万达社区居家养老服务站,伍家岗区-万寿桥街办-万达社区,1,0,0,1,0,,社区,13997700793,伍家岗区民政局,0717-6591521,
277,伍家岗区,万寿桥街道张家店社区居家养老服务站,伍家岗区-万寿桥街办-张家店社区,10,1,0,1,1,,社区,18671785722,伍家岗区民政局,0717-6591521,
278,伍家岗区,宝塔河街道张家坡社区居家养老服务中心,伍家岗区-宝塔河街办-张家坡社区,5,1,0,1,1,,街道（乡镇）,13545854401,伍家岗区民政局,0717-6591521,
279,伍家岗区,宝塔河街道宝联社区居家养老服务站,伍家岗区-宝塔河街办-宝联社区,5,0,0,0,0,,社区,18071311198,伍家岗区民政局,0717-6591521,
280,伍家岗区,宝塔河街道岳湾路社区居家养老服务站,伍家岗区-宝塔河街办-岳湾路社区,5,0,0,0,0,,社区,18071311210,伍家岗区民政局,0717-6591521,
281,伍家岗区,宝塔河街道岳家冲社区居家养老服务站,伍家岗区-宝塔河街办-岳家冲社区,5,0,0,0,0,,社区,18071311124,伍家岗区民政局,0717-6591521,
282,伍家岗区,宝塔河街道合益路社区居家养老服务站,伍家岗区-宝塔河街办-合益路社区,5,0,0,0,0,,社区,18071311164,伍家岗区民政局,0717-6591521,
283,伍家岗区,宝塔河街道中南路社区居家养老服务站,伍家岗区-宝塔河街办-中南路社区,5,0,0,0,0,,社区,18071310730,伍家岗区民政局,0717-6591521,
284,伍家岗区,宝塔河街道白家冲社区居家养老服务站,伍家岗区-宝塔河街办-白家冲社区,5,0,0,0,0,,社区,15872549424,伍家岗区民政局,0717-6591521,
285,伍家岗区,宝塔河街道松林路社区居家养老服务站,伍家岗区-宝塔河街办-松林路社区,5,0,0,0,0,,社区,18071311208,伍家岗区民政局,0717-6591521,
286,伍家岗区,宝塔河街道胡家冲社区居家养老服务站,伍家岗区-宝塔河街办-胡家冲社区,5,0,0,0,0,,社区,19971885530,伍家岗区民政局,0717-6591521,
287,伍家岗区,宝塔河街道艾家嘴社区居家养老服务站,伍家岗区-宝塔河街办-艾家嘴社区,5,0,0,0,0,,社区,18071311187,伍家岗区民政局,0717-6591521,
288,伍家岗区,宝塔河街道竹涛山社区居家养老服务站,伍家岗区-宝塔河街办-竹涛山社区,5,0,0,0,0,,社区,18071317713,伍家岗区民政局,0717-6591521,
289,伍家岗区,宝塔河街道古塔社区居家养老服务站,伍家岗区-宝塔河街办-古塔社区,5,0,0,0,0,,社区,18071311091,伍家岗区民政局,0717-6591521,
290,伍家岗区,宝塔河街道魏家湾社区居家养老服务站,伍家岗区-宝塔河街办-魏家湾社区,5,0,0,0,0,,社区,18071315241,伍家岗区民政局,0717-6591521,
291,伍家岗区,宝塔河街道东星社区居家养老服务站,伍家岗区-宝塔河街办-东星社区,5,0,0,0,0,,社区,18071311334,伍家岗区民政局,0717-6591521,
292,伍家岗区,宝塔河街道徐家坝社区居家养老服务站,伍家岗区-宝塔河街办-徐家坝社区,5,0,0,0,0,,社区,18071301036,伍家岗区民政局,0717-6591521,
293,伍家岗区,宝塔河街道韩家坝社区居家养老服务站,伍家岗区-宝塔河街办-韩家坝社区,5,0,0,0,0,,社区,18071311226,伍家岗区民政局,0717-6591521,
294,伍家岗区,伍家岗街道白沙路社区居家养老服务中心,伍家岗区-伍家岗街办-白沙路社区,17,1,1,1,1,,街道（乡镇）,（2199128,伍家岗区民政局,0717-6591521,
295,伍家岗区,伍家岗街道沈家店社区居家养老服务站,伍家岗区-伍家岗街办-沈家店社区,2,1,1,1,1,,社区,13912896851,伍家岗区民政局,0717-6591521,
296,伍家岗区,伍家岗街道八一路社区居家养老服务站,伍家岗区-伍家岗街办-八一路社区,2,0,1,0,0,,社区,6553009,伍家岗区民政局,0717-6591521,
297,伍家岗区,伍家岗街道桔城路社区居家养老服务站,伍家岗区-伍家岗街办-桔城路社区,2,0,1,0,1,,社区,15671011773,伍家岗区民政局,0717-6591521,
298,伍家岗区,伍家岗街道龙盘湖社区居家养老服务站,伍家岗区-伍家岗街办-龙盘湖社区,2,0,1,1,0,,社区,6572018,伍家岗区民政局,0717-6591521,
299,伍家岗区,伍家岗街道江山社区居家养老服务站,伍家岗区-伍家岗街办-江山社区,2,1,1,1,0,,社区,15629352777,伍家岗区民政局,0717-6591521,
300,伍家岗区,伍家岗街道白沙脑社区居家养老服务站,伍家岗区-伍家岗街办-白沙脑社区,2,1,0,0,0,,社区,18671763970,伍家岗区民政局,0717-6591521,
301,伍家岗区,伍家岗街道白马山社区居家养老服务站,伍家岗区-伍家岗街办-白马山社区,2,1,1,1,1,,社区,19971889467,伍家岗区民政局,0717-6591521,
302,伍家岗区,伍家岗街道东艳路社区居家养老服务站,伍家岗区-伍家岗街办-东艳路社区,2,1,0,0,0,,社区,15572721689,伍家岗区民政局,0717-6591521,
303,伍家岗区,伍家岗街道临江溪社区居家养老服务站,伍家岗区-伍家岗街办-临江溪社区,2,0,0,0,0,,社区,18972026577,伍家岗区民政局,0717-6591521,
304,伍家岗区,伍家岗街道伍临路社区居家养老服务站,伍家岗区-伍家岗街办-伍临路社区,2,0,1,0,0,,社区,13872625200,伍家岗区民政局,0717-6591521,
305,伍家岗区,伍家岗街道李家湖社区居家养老服务站,伍家岗区-伍家岗街办-李家湖社区,2,0,0,0,0,,社区,18771823193,伍家岗区民政局,0717-6591521,
306,伍家岗区,伍家岗街道花艳社区居家养老服务站,伍家岗区-伍家岗街办-花艳社区,2,0,1,0,0,,社区,18972588981,伍家岗区民政局,0717-6591521,
307,伍家岗区,伍家岗街道王家河社区居家养老服务站,伍家岗区-伍家岗街办-王家河社区,2,0,1,0,0,,社区,13972607583,伍家岗区民政局,0717-6591521,
308,伍家岗区,大公桥街道北山坡社区居家养老服务中心,伍家岗区-大公桥街办-北山坡社区,13,1,1,1,1,,街道（乡镇）,13886727189,伍家岗区民政局,0717-6591521,
309,点军区,联棚乡双溪社区居家养老服务中心,点军区-联棚乡-双溪村,5,1,1,1,1,,街道（乡镇）,19071730948,点军区民政局,0717-6677080,
310,点军区,点军区梅子溪社区社区居家养老服务中心,点军区-点军街办-梅子溪社区,2,1,1,1,1,,街道（乡镇）,17762998980,点军区民政局,0717-6677080,
311,点军区,点军街办至喜社区居家养老服务站,点军区-点军街办-至喜社区,0,1,1,1,0,,社区,18062392906,点军区民政局,0717-6677080,
312,点军区,桥边镇广华寺社区居家养老服务中心,点军区-桥边镇-广化寺社区,4,1,1,1,1,,街道（乡镇）,13197332033,点军区民政局,0717-6677080,
313,猇亭区,宜昌市猇亭区长江社区居家养老服务站,猇亭区-古老背街办-长江新村社区,2,1,0,1,1,,社区,18062999400,猇亭区民政局,0717-6512557,
314,猇亭区,宜昌市猇亭区桐岭新村社区居家养老服务站,猇亭区-古老背街办-桐岭新村社区,4,1,1,1,1,,社区,18062999400,猇亭区民政局,0717-6512557,
315,猇亭区,猇亭区云池街道石板冲社区居家养老服务站,猇亭区-云池街办-石板冲社区,0,0,0,0,0,,社区,13997662498,猇亭区民政局,0717-6512557,
316,猇亭区,猇亭区云池街道黄龙寺社区居家养老服务站,猇亭区-云池街办-黄龙寺社区,0,0,0,0,0,,社区,15997566533,猇亭区民政局,0717-6512557,
317,猇亭区,猇亭区虎牙街道虎牙社区居家养老服务站,猇亭区-虎牙街办-虎牙社区,0,0,1,0,1,,社区,18608607234,猇亭区民政局,0717-6512557,
318,猇亭区,双桥社区居家养老服务中心,猇亭区-古老背街办-双桥社区,0,0,0,0,0,,社区,13774195607,猇亭区民政局,0717-6512557,
319,猇亭区,蔡家畈社区居家养老服务站,猇亭区-古老背街办-蔡家畈社区,0,0,0,0,0,,社区,13687275155,猇亭区民政局,0717-6512557,
320,猇亭区,宜昌市猇亭区桐岭社区居家养老服务站,猇亭区-古老背街办-桐岭社区,6,1,1,1,1,,社区,18062999400,猇亭区民政局,0717-6512557,
321,猇亭区,宜昌市猇亭区古老背街办古老背社区居家养老服务站,猇亭区-古老背街办-古老背社区,2,0,0,1,1,,社区,18062999400,猇亭区民政局,0717-6512557,
322,猇亭区,宜昌市猇亭区云池街道下马槽社区居家养老服务中心,猇亭区-云池街办-下马槽社区,10,0,0,1,1,,街道（乡镇）,18062999400,猇亭区民政局,0717-6512557,
323,猇亭区,猇亭区云池街道云池社区居家养老服务站,猇亭区-云池街办-云池社区,2,1,1,1,1,,社区,13872631298,猇亭区民政局,0717-6512557,
324,猇亭区,猇亭区云池街道新金岭社区居家养老服务站,猇亭区-云池街办-新金岭社区,2,0,0,1,1,,社区,18995918099,猇亭区民政局,0717-6512557,
325,猇亭区,宜昌市猇亭区虎牙街道鸡山社区居家养老服务中心,猇亭区-虎牙街办-鸡山社区,14,0,0,1,0,,街道（乡镇）,13872588959,猇亭区民政局,0717-6512557,
326,猇亭区,宜昌市猇亭区虎牙街道六泉湖社区居家养老服务站,猇亭区-虎牙街办-六泉湖社区,10,1,1,1,1,,社区,13986768306,猇亭区民政局,0717-6512557,
327,猇亭区,宜昌市猇亭区古老背街道七里新村社区居家养老服务中心,猇亭区-古老背街办-七里新村社区,16,0,1,1,1,,街道（乡镇）,18071311740,猇亭区民政局,0717-6512557,
328,猇亭区,宜昌市猇亭区虎牙街道磨盘溪社区居家养老服务站,猇亭区-虎牙街办-磨盘社区,0,1,0,1,0,,社区,15629346687,猇亭区民政局,0717-6512557,
329,高新区,东锦苑社区居家养老服务中心,高新区-生物产业园-东锦苑社区,14,1,1,1,1,,街道（乡镇）,15871603008,宜昌高新区公共服务局,0717-6331781,
