xh,gl,ml,kl,mc,ywm,sbtz,xx,fb,bwdj,sy,tp
1,哺乳纲,灵长目,猴科,猕猴,Rhesus Monkey,"体长43—55cm,尾长15—24cm。头部呈棕色，颜面瘦削，头顶没有向四周辐射的旋毛。额略突，肩部较短，尾较长。背上部棕灰色或棕黄色，下部橙黄色或橙红色，腹面呈淡灰黄色。四肢均具5指，有扁平的指甲。面部、两耳多为肉色，臀胝发达，多为肉红色。",多栖息在石山峭壁、溪旁沟谷、江河岸边的密林中或疏林岩山上，属群居性动物。繁殖和缺食季节，往往集群分布，活动范围较大。以树叶、嫩枝、野菜等为食，也吃小鸟、鸟蛋和各种昆虫，甚至蚯蚓、蚂蚁。,兴山、稀归、五峰、长阳、宜都、枝江、当阳、远安、夷陵区、宜昌城区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属易危。",张明涛,https://data.yichang.gov.cn/karma/pic/b956f3e2-156f-4345-aedd-5268c4e8b6ef.jpeg
2,哺乳纲,灵长目,猴科,藏酋猴,Tibetan Macaque,"体长52—70cm,尾长6—7cm,体型粗壮，头大，耳小，有颊囊，成体两颊和额下有一圈髭毛呈须状。颜面随年龄不同而异色，性成熟时呈鲜红色，进入老年时变为紫色、肉色、黑色。雄猴头部深棕色，背部棕褐色，腹面及四肢内侧淡黄色，四肢外侧及手、脚的背面棕色。",活动于深山的阔叶林、针阔叶混交林或稀树多岩的地方。喜群栖，由20—30只组成，大群可达百余只，每群有2或3只成年雄猴为首领。喜在地面活动，在崖壁缝隙、陡崖或大树上过夜。以多种植物的叶、芽、果、枝及竹笋为食，亦食鸟及鸟卵、昆虫等动物性食物。,五峰。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属易危。",洪子波,https://data.yichang.gov.cn/karma/pic/4ff5ddbf-eeac-4b67-87a2-5eac1c7c80f1.jpeg
3,哺乳纲,灵长目,猴科,川金丝猴,Sichuan Snub-nosed Monkey,体长平均68cm，尾长平均68.5cm，为体型中等的猴类。头圆，耳短，鼻孔向上仰，颜面部为蓝色，无颊囊。颊部及颈侧棕红，肩背具长毛，色泽金黄，尾与体等长或更长。,常年栖息于海拔1500—3300m的原始森林和次生林中。树栖，很少下地，白天活动，群栖生活。以植物性食物为主，多以树木的嫩叶、幼芽和花序为食；秋季偶尔捕食幼鸟、鸟蛋和昆虫等。,兴山。,国家一级重点保护野生动物，CITES附录Ⅰ，IUCN等级属易危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/669d2120-3e52-4a90-a42c-6cdd42cb778d.jpeg
4,哺乳纲,鳞甲目,鲮鲤科,中华穿山甲,Chinese  Pangolin,体长42—92cm，尾长28—35cm。体披鳞甲，吻细长，脑颅大，呈圆锥形。形体狭长，四肢粗短，尾扁平而长，背面略隆起。攀附蜷曲有力，平时走路掌背着地，受惊蜷成球状。颌颊、耳眼、胸腹直至尾基，以及四肢内侧均无鳞，但有稀毛。,栖息于阔叶林、针叶林、竹林、草原和农田等各种生境。喜炎热，能爬树，能在泥土中挖深2—4m、直径20—30cm的洞。以长舌舐食蚁、蜜蜂或其他昆虫为食。,五峰。,国家一级重点保护野生动物，CITES附录Ⅱ，IUCN等级属极危。,李风,https://data.yichang.gov.cn/karma/pic/b16c5e76-5d69-4f41-8b76-5958df33dee5.jpeg
5,哺乳纲,食肉目,犬科,狼,Gray wolf,体长100—140cm。四肢修长，趾行性，利于快速奔跑。头腭尖形，颜面部长，鼻端突出，耳尖且直立。犬齿及裂齿发达，上臼齿具明显齿尖，下臼齿内侧具一小齿尖及后跟尖，臼齿齿冠直径大于外侧门齿高度。毛粗而长。前足4—5趾，后足一般4趾。爪粗而钝，不能或略能伸缩。,是食肉目中分布最为广泛的动物，即使在所有哺乳动物中，其分布范围也仅仅小于人和其他少数几种啮齿类动物。在北半球的部分地区，包括草原、苔原、针叶林和落叶林、沼泽和沙漠中，都有它们的身影。,历史文献记载，无观测记录。,国家二级重点保护野生动物，CITES附录Ⅱ，IUCN等级属近危。,郭莎,https://data.yichang.gov.cn/karma/pic/284fa39d-0a72-4502-9847-89f6282a0177.jpeg
6,哺乳纲,食肉目,犬科,豺,Dhole,体长85—130cm，尾长45—50cm。外形与狗相近，吻较狼短而头较宽，耳短而圆，身躯较狼为短。四肢较短，尾比狼略长，但不超过体长的一半。其毛长而密，略似狐尾。背毛红棕色，毛尖黑色，腹毛较浅淡。下臼齿每侧仅2枚。,栖息于山区、丘陵等地。活动于草坡、灌木丛。性凶残，喜群居，多由较为强壮而狡猾的“头领”带领一个或几个家族临时聚集而成，少则2—3只，多时10—30只。常晨昏觅食，多集群围捕麂和鹿。,历史文献记载，无观测记录。,国家一级重点保护野生动物，CITES附录Ⅱ，IUCN等级属濒危。,田耀平,https://data.yichang.gov.cn/karma/pic/e8d17a8c-bf47-4364-8a66-d1a73f615274.jpeg
7,哺乳纲,食肉目,犬科,貉,raccoon dog,"体长40—60cm。外形似狐，前额和鼻吻部白色，眼周黑色。颊部覆有蓬松的长毛，形成环状领。背的前部有一交叉形图案。胸部、腿和足暗褐色，背部和尾部的毛尖黑色，尾长小于头体长的33%,且覆有蓬松的毛。背毛浅棕灰色，混有黑色毛尖。",栖息于阔叶林中开阔且接近水源的地方，或开阔草甸、茂密的灌丛带和芦苇地。取食小动物，包括啮齿动物，小鸟、蟹、昆虫等，也食浆果、真菌等植物性食料。常居于其他动物的废弃旧洞，或营巢于石隙、树洞里。,当阳、夷陵区、枝江。,国家二级重点保护野生动物，CITES未记录，IUCN等级属近危。,李风,https://data.yichang.gov.cn/karma/pic/91d19fa6-929e-43a9-93db-4f0287665721.jpeg
8,哺乳纲,食肉目,犬科,赤狐,Red Fox,体长60—70cm。体形纤长，吻尖而长，鼻骨细长，额骨前部平缓，中间有一狭沟。耳较太，高而尖，直立。四肢较短，尾较长，略超过体长之半。尾形粗大，覆毛长而遵松。躯体覆有长的针毛，冬毛具丰厚的底绒。耳背上半部黑色，与头部毛色明显不同，尾梢白色。,主要以鼠、黄鼠等各种野鼠和野兔为主要食物，也吃蛙、鱼、鸟、鸟蛋、昆虫等。栖息环境非常多样，如森林、草原、荒漠、高山、丘陵、平原及村庄附近，甚至城郊，皆可栖息。,五峰,国家二级重点保护野生动物，CITES未记录，IUCN等级属近危。,拍信文创,https://data.yichang.gov.cn/karma/pic/6643fbb9-1d73-4d25-a7e5-89be8d8d1a3d.jpeg
9,哺乳纲,食肉目,熊科,亚洲黑熊,Asiatic Black Bear,体长55—120 cm，尾长7—8cm。身体粗壮，头部宽圆，吻较短。体毛黑亮而长，下颌白色，胸部有一块“V”字形白斑。鼻端裸露，足垫厚实，前后足具5趾，爪尖锐不能伸缩，前足爪长于后足爪。,林栖动物，主要栖息于阔叶林和针阔混交林中。杂食性动物，以植物性食物为主，包括各种植物的叶、芽、果实、根及菇类，也会捕食虾、蟹、鱼、鸟和啮齿类动物等，还会挖掘蚁窝和蜂巢。,兴山、五峰、宜都、长阳。,国家二级重点保护野生动物，CITES附录Ⅰ，IUCN等级属易危。,拍信文创,https://data.yichang.gov.cn/karma/pic/224e09bf-2eba-45ec-9f7e-515ab4279b5c.jpeg
10,哺乳纲,食肉目,鼬科,欧亚水獭,Eurasian Otter,体长56—80cm，尾长30—40cm。头宽扁，眼耳都小。体表有又粗又密的针毛，背部为暗褐色，腹部呈淡棕色。喉、颈、胸部近白色。上唇为白色，喙角生有发达的触须，四肢粗短，趾爪长而稍锐利。尾长而扁平，基部粗，至尾端渐渐变细。,属于半水栖动物，栖居在水流较缓、水生植物贫乏而鱼类较多的河流、沼泽、池塘、湖泊等淡水水域，或是两岸林木繁茂的小溪，有时也栖息在竹林、草灌丛中。以鱼为主食，也捕食蟹、蛙、蛇、水禽等各种小型动物。,五峰。,国家二级重点保护野生动物，CITES附录Ⅱ，IUCN等级属濒危。,拍信文创,https://data.yichang.gov.cn/karma/pic/02da438b-6829-4328-ad13-319aa647cfd4.jpeg
11,哺乳纲,食肉目,鼬科,黄喉貂,Yellow-throated Marten,体长40—60cm，尾长7—8cm，为貂类中个头最大的一种。因前胸部具有明显的黄橙色喉斑而得名，体毛短而稀疏，尾毛不蓬松。吻部到头顶、颈、背、尾部及四肢为暗棕色或黑褐色。耳短圆，体型细长，头略呈三角形。四肢短，但强健有力，各有5个趾。,栖息于丘陵、山区等林地，低至河谷灌丛，高至海拔3000m的针叶林。善于攀援树木陡岩，常住在树洞中，行动敏捷。捕食蛙、鸟、鼠等，也取食蜂蛮和野果。,兴山、五峰。,国家二级重点保护野生动物，CITES附录Ⅲ，IUCN等级属近危。,图虫创意,https://data.yichang.gov.cn/karma/pic/ee3934f5-fb2b-49a8-b8f6-bb9152877b8e.jpeg
12,哺乳纲,食肉目,灵猫科,大灵猫,Large Indian Civet,体长67—83cm，尾长40—50cm，大小与家犬相似。头略尖，耳小，额部较宽阔，吻部较尖。耳基下部至喉颈部黑褐色，中间有两条宽的白色或淡黄色横纹。肩、背、腰部黑褐色，肩部浅褐色，两肩中央及背脊有黑色鬃毛。胸部、腋部灰褐色，腹部、鼠鼷部灰白色，具黑白相间的闭锁环纹，尾端黑色。,主要生活在海拔2100m以下的山丘或高山深谷地区、林缘茂密的灌木丛或草丛生境。多单独活动，昼伏夜出，多以灌丛、草丛、土穴、岩洞、树洞作为巢穴。食性广，以动物性食物为主，包括小型脊椎动物及大型昆虫，也吃植物果实等。,历史文献记载，无观测记录。,国家一级重点保护野生动物，CITES附录Ⅲ，IUCN等级属易危。,图虫创意,https://data.yichang.gov.cn/karma/pic/4d7d9169-7b7f-4476-9559-f3d72d663eee.jpeg
13,哺乳纲,食肉目,灵猫科,小灵猫,Small Indian Civet,"成体体长48—58cm,比家猫略大。头、体、尾较细长，吻部尖，额部狭窄，四肢细短。全身毛以棕黄色为主，唇白色，眼下、耳后棕黑色。背部有5条连续或间断的黑褐色纵纹，具不规则斑点。腹部棕灰，四脚乌黑。尾部有7—9个深褐色环纹。",栖息于多林山地，一般在石堆、墓穴、树洞中筑巢。以夜行性为主，善于攀援，多在巢穴附近活动。喜欢独居，相遇时经常互相撕咬。杂食性，以昆虫、蛙、蛇、小兽和野果为食。,夷陵区、长阳、点军区、兴山。,"国家一级重点保护野生动物，CITES附录Ⅲ,IUCN等级属易危。",舒仁庆,https://data.yichang.gov.cn/karma/pic/fc20f031-6f73-418d-8a58-63aa3b62a65e.jpeg
14,哺乳纲,食肉目,猫科,金猫,Asiatic Golden Cat,体长75—100cm，尾长34—56cm，体型比家猫大2-3倍。头部棕色，两眼内角各有一条白色或黄白色纹，至头顶转为红棕色；颈的腹面为白色；肩、背、腰深棕色，并具纵行黑褐纵纹、斑点，直至尾部；臀部黄色，具褐色斑点；四肢上部有斑点。体色多样，至少有3类色型，即红色金猫、灰色金猫、黑金猫。,栖息于山地各种森林中，从湿润的常绿林到海拔3000m左右的干旱针阔混交林或针叶林都可见金猫活动，也偶见于灌丛和草地。常单独生活，白天栖于树上洞穴内，夜间下地活动。能捕食黄麂、毛冠鹿、麝等偶蹄类，但主要以各种体型较大的啮齿类动物为食，也捕食较大的雉科鸟类、野兔等动物。,兴山。,国家一级重点保护野生动物，CITES附录I，IUCN等级属极危。,拍信文创,https://data.yichang.gov.cn/karma/pic/9df2cdbc-0e20-40ab-a9de-0e439a51d69e.jpeg
15,哺乳纲,食肉目,猫科,豹猫,Leopard Cat,体长30—60cm。体型似家猫，但腿更加纤细且长，身上斑点很像中国的铜钱。南方种的豹猫毛色基调是淡褐色或浅黄色，而北方的毛色基调显得更灰，且周身有深色的斑点。体侧有斑点，但从不连成垂直的条纹。明显的白色条纹从鼻子一直延伸到两眼间，常到头顶。耳大而尖，耳后黑色，带有白斑点。内侧眼角到鼻部有一条白色条纹，鼻吻部白色。,主要以鼠类、松鼠、飞鼠、兔类、蛙类、蜥蜴、蛇类、小型鸟类、昆虫等为食，栖息于山地林区、郊野灌丛和林缘村寨附近。分布的海拔高度可从低海拔海岸带一直到海拔3000m的高山林区。,五峰、长阳、兴山、夷陵区、点军区、当阳。,"国家二级重点保护野生动物，CITES附录Ⅲ,CITES等级属易危。",拍信文创,https://data.yichang.gov.cn/karma/pic/304530c4-ac80-4766-9d77-ce4fb28e9d8c.jpeg
16,哺乳纲,食肉目,猫科,豹,Leopard,体长1—1.5m，尾长0.75—0.85m。头圆、耳短，四胶强健有力，爪锐利且伸缩性强。毛色棕黄，遍布黑色班点和环纹，形成古钱状斑纹，故被称为“金钱豹”。其背部颜色较深，膜部为乳白色。,栖息于森林、灌丛、湿地、荒漠等多种生境里，其巢穴多筑于浓密树丛、灌丛和岩洞中。独居生活，常夜间活动，白天在树上或岩洞中休息。捕食猴、免、鼠、鸟和鱼；秋季也采食甜味的浆果。,长阳、五峰。,国家一级重点保护野生动物，CITES附录I，IUCN等级属演危。,图虫创意,https://data.yichang.gov.cn/karma/pic/c774540e-2061-49b9-9e9f-8d54ed057745.jpeg
17,哺乳纲,食肉目,猫科,虎,South China Tiger,体长160—290cm，尾长80—100cm。大型食肉动物，头圆大，颈粗短，耳短，四肢粗大有力。通体橙黄色，颊白色，上有3道黑色竖纹。眼上方一白色区内有3条黑纹。胸、腹白色或浅黄色。尾的腹面白色，尾有黑色环纹。,主要栖息于阔叶林、混交林和浓密的灌丛山地。性凶猛，昼伏夜出，多在山林间游荡寻食。主要捕食野猪、马鹿、水鹿、麝、麂等有蹄类动物，偶尔捕食野禽。,五峰。,国家一级重点保护野生动物，CITES附录I，IUCN等级属极危。,拍信文创,https://data.yichang.gov.cn/karma/pic/9be8745b-9c87-4244-8231-e833526b26d6.jpeg
18,哺乳纲,食肉目,猫科,云豹,Clouded Leopard,"体长70—110cm,尾长70—90cm,雄性略大于雌性。全身黄褐色，体侧有对称的深色大块云状斑纹，周缘近黑色，而中心暗黄色，状如龟背饰纹，故有“龟纹豹”之称，易区别于其他豹类。尾毛与背部同色，尾端有数个不完整的黑环，端部黑色。",栖息于海拔2800—3200m的阔叶林和针阔混交林。性凶猛，善攀援，活动和睡眠主要在树上。喜群居，晨昏活动。以禽类和小型兽类为食。,长阳、五峰。,"国家一级重点保护野生动物，CITES附录I,IUCN等级属极危。",拍信文创,https://data.yichang.gov.cn/karma/pic/5bbc506a-5d7f-4752-9be8-062c045f6464.jpeg
19,哺乳纲,鲸偶蹄目,麝科,林麝,Forest Musk Deer,体长约70cm。雄麝上犬齿发达，向后下方弯曲，伸出唇外。腹部生殖器前有麝香囊，尾粗短，尾脂腺发达。四肢细长，后肢长于前肢。体毛粗硬，色深，呈橄榄褐色，并杂以橘红色。下颌、喉部、颈下至前胸为界限分明的白色或橘黄色区。臀部毛色近黑色，成体不具斑点。,主要栖息于针阔混交林，也适于在针叶林和郁闭度较差的阔叶林生境生活。栖息地海拔高度可达2000—3800m，在低海拔环境也能生存，随气候和食物的变化垂直迁移。喜独居生活，嗅觉灵敏，行动轻快敏捷。食物多以灌木的嫩枝叶为主。,五峰、长阳、兴山、夷陵区。,国家一级重点保护野生动物，CITES附录Ⅱ，IUCN等级属极危。,大老岭自然保护区红外相机拍摄,https://data.yichang.gov.cn/karma/pic/50511caa-1a2c-4ba6-b9ba-8b0e7d261104.jpeg
20,哺乳纲,鲸偶蹄目,鹿科,梅花鹿,Sika Deer,"成体体长105—170cm,尾长13—18cm。成体和幼体夏毛棕褐色，散有白色斑点，且斑点夏毛清晰，冬毛模糊。角4叉，第2叉紧靠眉叉。白色臀斑明显。",栖息于针阔叶混交林的林间或林缘耕作带残存的灌丛、草坡。以青草、嫩树叶为食。,兴山(大巴山区不是梅花鹿自然分布区，上世纪八十年代神农架引进过梅花鹿，在兴山观察到的梅花鹿是否神农架养殖逃逸部分，有待研究监测。),"国家一级重点保护野生动物，CITES附录Ⅲ,IUCN等级属极危。",李风,https://data.yichang.gov.cn/karma/pic/f55c63f8-a7d5-4a50-83d7-5834c684b1ad.jpeg
21,哺乳纲,鲸偶蹄目,鹿科,毛冠鹿,Tufted Deer,体长90cm左右。鼻端裸露，眼较小，无额腺，眶下腺特别显著。耳较圆阔。额部有一簇马蹄形的黑色长毛，故称“毛冠鹿”。雄鹿有角，角极短，长度仅1cm左右，且角冠不分叉，尖略向下弯，隐藏在额顶上的一簇长的黑毛丛中；雌鹿无角。,草食性，喜食蔷薇科、百合科和杜鹃花科的植物枝叶。栖居在山区的丘陵地带，以及繁茂的竹林、竹阔混交林和茅草坡等处，不喜潮湿，春季过后多在较高的山上避暑，冬季则下到低山朝阳处避寒。,五峰、长阳、兴山、秭归、夷陵区、宜都。,国家二级重点保护野生动物，CITES等级未记录，IUCN等级属易危。,田耀平,https://data.yichang.gov.cn/karma/pic/e11c83d0-0423-4da9-89a0-d2a99b299b88.jpeg
22,哺乳纲,鲸偶蹄目,牛科,中华斑羚,Chinese Goral,体长100cm左右，外形似家养的山羊，但身体粗壮，四肢也粗短，蹄狭窄，吻鼻端裸露的面积较大，向后伸到鼻孔的后角。耳窄而直立。眶下腺退化，在此处有一小块裸皮。雌雄均具黑色角，角较细短，向后上方斜向伸出，略向后弯曲，两角基部十分靠近。,栖息环境多样，从亚热带至北温带地区均有分布，可见于山地针叶林、山地针阔叶混交林和山地常绿阔叶林中。主要以各种青草、灌木的嫩枝叶、果实和苔藓等为食。,五峰、长阳、兴山、秭归、夷陵区。,国家二级重点保护野生动物，CITES附录I，IUCN等级属易危。,图虫创意,https://data.yichang.gov.cn/karma/pic/28e41097-4fdf-4638-ab17-204f8d7a4da0.jpeg
23,哺乳纲,鲸偶蹄目,牛科,中华鬣羚,Chinese serow,体长约140—170cm，全身被毛以黑褐色为主，稀疏而粗硬，杂以灰褐色，毛干基部黑色，末端色浅，颈部有白色长毛，四肢由赤褐色向下转为黄褐色。角的基部粗壮，有横棱和轻微的曲线，尖端变细。角像鹿而不是鹿，蹄像牛而不是牛，头像羊而不是羊，耳朵像驴而不是驴，所以又被称为“四不像”。,主要以各种杂草、青草、树木嫩枝、叶、芽、落果和菌类、松萝等为食。常活动于海拔1000—4400m的针阔混交林、针叶林或多岩石的杂灌林。,五峰、长阳、兴山、秭归、夷陵区、宜都。,国家二级重点保护野生动物，CITES附录I，IUCN等级属易危。,大老岭自然保护区红外相机拍摄,https://data.yichang.gov.cn/karma/pic/60f38a2e-a488-4f6b-ac41-1b64524a19b9.jpeg
24,哺乳纲,鲸偶蹄目,鼠海豚科,长江江豚,Yangtze Porpoise,体长120—180cm。头部圆，无喙，体呈纺锤形。体背面有一个大小和形状不同的疣粒区。头骨的上颌骨狭长，两上颌骨的内缘接近平行。全身为蓝灰色或瓦灰色，腹部颜色浅亮，唇部和喉部为黄灰色，腹部有一些形状不规则的灰色斑。,常出没在咸淡水交汇的水域，支流河口或湖口与长江交汇处。性情活泼，常在水中上游下窜，以青鳞鱼、玉筋鱼、鳗鱼、鲈鱼、鳗鱼、大银鱼等鱼类和虾、乌贼等为食。,长江宜昌段。,国家一级重点保护野生动物，CITES附录I，IUCN等级属极危。,雷吉平,https://data.yichang.gov.cn/karma/pic/66364d0e-b18a-48ca-bd93-bbe1d988c6f0.jpeg
25,鸟纲,鸡形目,雉科,红腹角雉,Temminck's Tragopan,"成鸟体长40—60cm,雄鸟通体绯红色，脸部裸露，皮肤蓝色，上体满布灰色而具黑色边缘的点斑，下体具大块的浅灰色鳞状斑。雌鸟上体灰褐色，下体淡黄色，杂以黑、棕、白斑，尾羽栗褐色，有黑色和淡棕色的横斑。",主要栖息于海拔1600—3000m的冷杉、赤桦等林中，隐匿于稠密的杜鹃、箭竹林间或密被苔藓的树上。多单独活动，主要以乔木、灌木、竹，以及草本植物和蕨类植物的嫩叶、幼芽、嫩枝、花序、果实和种子为食，也吃昆虫和蚯蚓。,五峰、长阳、兴山、秭归、远安、夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属近危。,图虫创意,https://data.yichang.gov.cn/karma/pic/dc5cd54d-2408-46a6-acd0-85dcc2878d75.jpeg
26,鸟纲,鸡形目,雉科,勺鸡,Koklass Pheasant,成鸟体长40—63cm。雄鸟头顶及冠羽近灰色，喉、宽阔的眼线、枕及耳羽束金属绿色，颈侧白色，上背皮黄色，胸栗色，其他部位的体羽为长的白色羽毛上具黑色矛状纹。雌鸟体型较小，具冠羽，但无长的耳羽束，体羽图纹与雄鸟同。,以植物根、果实及种子为主食。栖息于海拔1500—4000m处的松林及针阔叶混交林中，特别喜欢在高低不平而密生灌丛生的多岩坡地活动。,夷陵区。,国家二级重点保护野生动物，CITES附录Ⅲ，IUCN等级属无危。,竺宝英,https://data.yichang.gov.cn/karma/pic/aa8fce82-5719-43f9-89fe-a0919c754be4.jpeg
27,鸟纲,鸡形目,雉科,白冠长尾雉,Reeve's Pheasant,成鸟体长67—160cm。雄鸟头顶、颏、喉和颈白色，眼下有白斑，额、眼先、眼区、颊、耳区及后头等均黑色，形成一圈围着头顶的环带。雌鸟体型较小，头顶及后颈大部暗栗褐色，各羽中央黑色，额、眉、头侧、颏、喉及围绕颈部的一圈淡棕黄色。,主要栖息在海拔400—1500m的山地森林中。主要以植物果实、种子、幼芽、嫩叶、花、块茎、块根、农作物幼苗和谷粒为食，也吃鞘翅目和鳞翅目昆虫、蜗牛、蚱蜢等动物性食物。,兴山。,"国家一级重点保护野生动物，CITES附录Ⅱ,IUCN等级属濒危。",杜俊,https://data.yichang.gov.cn/karma/pic/684011fe-c001-447b-911f-4322218ed768.jpeg
28,鸟纲,鸡形目,雉科,红腹锦鸡,Golden Pheasant,成鸟体长59—110cm左右。头顶及背有耀眼的金色丝状羽，枕部披风为金色并具黑色条纹。上背金属绿色，下体绯红。翼为金属蓝色，尾长而弯曲，中央尾羽近黑而具皮黄色点斑，其余部位黄褐色。雌鸟体型较小，为黄褐色，上体密布黑色带斑，下体淡皮黄色。,杂食性，以食植物为主，主要取食蕨类植物、豆科植物、草籽，亦取食麦叶、大豆等作物。栖息于山地常绿阔叶林、针阔叶混交林和针叶林中，也栖息于林缘灌丛、草丛和矮竹林间，冬季到农田附近觅食。夜晚栖于树冠隐蔽处，白天下树在地上活动。,宜昌各县市区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/699e0787-b888-47be-ba96-78bf70e8a048.jpeg
29,鸟纲,雁形目,鸭科,小白额雁,Lesser White-fronted Goose,成鸟体长60cm左右。体型较白额雁小，颈粗短，嘴细小，额上白斑比白额雁大，眼圈金黄色。,以植物芽苞、嫩叶和嫩草为食。晚上多在水中栖息过夜，白天则成群飞到苔原、草地上觅食。善于在地上行走，且奔跑迅速。,长江宜昌段。,国家二级重点保护野生动物，CITES未记录，IUCN等级属易危。,李风,https://data.yichang.gov.cn/karma/pic/09da9322-6d89-45a5-af0c-e6f89120f791.jpeg
30,鸟纲,雁形目,鸭科,白额雁,Greater White-fronted Goose,成鸟体长80cm左右。上体大多灰褐色，从上嘴基部至额有一宽阔白斑；下体白色，杂有黑色块斑。其与小白额雁的区别在于无金黄色眼圈，且腹部黑斑更大。,以植物性食物为食，夏季主要吃马尾草、棉花草等苔原植物；冬季主要以水边植物，如芦苇、三棱草，以及其他植物的嫩芽和根、茎，也吃农作物幼苗。在陆地的时间通常较在水中的时间长，有时仅是为了喝水才到水中。在中国为冬候鸟。,长江宜昌段。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/e6c6e491-42b0-4d7e-85c2-4d1d3f438077.jpeg
31,鸟纲,雁形目,鸭科,鸿雁,Swan Goose,成鸟体长88cm左右。嘴黑色，体色浅灰褐色，头顶到后颈暗棕褐色，前颈近白色。鸿雁雌雄相似，但雌鸟体型略小，两翅较短，嘴基疣状突亦不明显。,以各种草本植物的叶、芽，包括陆生植物和水生植物、芦苇、藻类等植物性食物为食，性喜结群，常成群活动，特别是在迁徙季节，常集成数十、数百，甚至上千只的大群，每年10月至11月迁徙季节在长江上空可见。,枝江、宜都、当阳。,国家二级重点保护野生动物，CITES未记录，IUCN等级属易危。,李风,https://data.yichang.gov.cn/karma/pic/035bdcd3-505f-46d2-abcd-355ca2f9eef7.jpeg
32,鸟纲,雁形目,鸭科,小天鹅,Tundra Swan,成鸟体长130cm左右。全身纯白羽毛，长脖颈，黑色脚和蹼，嘴前端黑色，上嘴基部黄色部分面积较小，未到鼻孔下。幼鸟全身灰褐色，嘴基部粉红色。,以水生植物的叶、根、茎和种子等为食，也吃少量螺类、软体动物、水生昆虫和其他小型水生动物，有时还吃农作物的种子、幼苗和粮食。栖息在多芦苇、蒲草和其他水生植物的大型湖泊、水库、水塘与河湾等地方，也出现在湿草地和水淹平原、沼泽、海滩及河口地带。,当阳、枝江、宜都。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/1ba950ba-516c-4597-abaa-eadabc00bcdb.jpeg
33,鸟纲,雁形目,鸭科,大天鹅,Whooper Swan,成鸟体长150cm左右。全身纯白羽毛，长脖颈，黑色脚和蹼，嘴黑色，上嘴基部黄色向前延伸到鼻孔之下，嘴上黄色的面积超过黑色。幼鸟全身灰褐色，嘴基部粉红色，嘴端黑色。,以水生植物的叶、根、茎和种子等为食，也吃少量螺类、软体动物。喜集群，警惕性极高，活动和栖息时远离岸边，游泳亦多在开阔的水域，甚至晚上亦栖息在离岸较远的水中。,宜昌长江段。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/c56e7495-4a43-4159-ad77-26cd9308c215.jpeg
