xh,gl,ml,kl,mc,ywm,sbtz,xx,fb,bwdj,sy,tp
67,鸟纲,鹰形目,鹰科,大鵟,Upland Buzzard,成鸟体长60—70cm。有淡色型、暗色型和中间型等几种类型，其中以淡色型较为常见。淡色型具深棕色的翼缘。尾常为褐色而非棕色，尖端灰白色。跗跖前端通常被有羽毛。,以啮齿动物、蛙、蜥蜴、野兔、蛇、黄鼠、鼠兔、旱獭、雉鸡、石鸡、昆虫等动物性食物为食。栖息于山地、山脚平原和草原等地区，也出现在高山林缘和开阔的山地草原与荒漠地带，垂直分布高度可以达到4000m以上的高原和山区。冬季也常出现在低山丘陵和山脚平原地带的农田、芦苇沼泽、村庄，甚至城市附近。,历史文献记载，无野外观测记录。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,图虫创意,https://data.yichang.gov.cn/karma/pic/d8281db9-1fea-46ee-afe2-516d750f341a.jpeg
68,鸟纲,鹰形目,鹰科,白腹隼雕,Bonelli's Eagle,成鸟体长50—60cm。上体褐色，下体白色，具有黑色细纵纹。翅膀圆而狭长，尖端黑色，翼下飞羽中段浅色，具有黑色横纹，翼下覆羽黑褐色，尾羽较长，羽端斑白色，次端具一条宽的黑色横带。虹膜淡褐色；喙灰蓝色，尖端部黑色；脚黄色。,栖息于中低海拔的山地森林和河谷地带，迁徙和越冬期亦可出现在海岸线、沼泽和荒漠上。多单独或成对活动，较少时间翱翔于天空，喜低空飞行。主要以两栖爬行动物、小型哺乳动物和鸟类为食。,夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/ea333f88-dc8c-4738-9012-b108a13a7d66.jpeg
69,鸟纲,鹰形目,鹰科,乌灰鹞,Montagu's Harrier,成鸟体长60—70cm。雄性上体、喉部至上胸暗灰色。下体白色，具有棕色纵纹。翅亦为棕色，初级飞羽末端黑色，翅上有一黑色横带，翅下有两条黑色横带，飞行时十分明显。雌鸟褐色，尾上覆羽白色，与白尾鹞和草原鹞的雌鸟极为相似，但体型比前者纤细，领环比后者色浅。虹膜黄色，喙角质黄色，脚黄色。,以啮齿动物，蛙、蜥蜴、野兔、蛇、黄鼠、鼠兔、旱獭、雉鸡、石鸡、昆虫等动物性食物为食。栖息于山地、山脚平原和草原等地区，也出现在高山林缘和开阔的山地草原与荒漠地带，垂直分布高度可以达到4000m以上的高原和山区。冬季也常出现在低山丘陵和山脚平原地带的农田、芦苇沼泽、村庄、甚至城市附近。,历史文献记载，无野外观测记录。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/e3bebee6-1448-434e-beca-bc3b4ec2ac3f.jpeg
70,鸟纲,鹰形目,鹰科,乌雕,Greater Spotted Eagle,成鸟上体为暗褐色，下体颜色较淡，尾上覆羽白色，与体色对比强烈。亚成体和幼体的体色较淡，背和翅膀上有很多灰白色斑点，也被称为“芝麻雕”。飞行时两翅平直，尾短而圆，翱翔时翅膀不上举成“V”字形，以此和其他雕类区别。虹膜褐色，喙灰色，脚黄色。,栖息于丘陵、低山开阔森林中，有时也出现在开阔水域周围。多在飞翔中或伏于地面捕食，取食鱼、蛙、鼠等动物，也食金龟子、蝗虫。,宜都。,国家一级重点保护野生动物，CITES未记录，IUCN等级属易危。,拍信文创,https://data.yichang.gov.cn/karma/pic/39d9dc8f-9bf3-47eb-9242-d0ff2216eda7.jpeg
71,鸟纲,鹰形目,鹰科,蛇雕,Crested Serpent Eagle,成鸟头部的黑白色羽冠平，使得整个头部显得较大且蓬松，眼和喙之间部分裸露，为黄色，非常显眼，飞行时通过尾部和翅膀后缘的白斑很好辨认。亚成鸟与成鸟相似，但体羽褐色较浓，且杂白色较多，更显斑驳。虹膜黄色，喙蓝灰色，脚黄色，爪黑色。,以小蛇、蛙之类的动物为食。常在森林上空翱翔，边飞边叫，鸣声响亮。,夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/aa47c055-5ad9-46e2-ba15-11cf03d08e67.jpeg
72,鸟纲,鹰形目,鹰科,白尾鹞,Hen Harrier,雄鸟整体青灰色，下体偏白，翅尖黑色，容易辨认。雌鸟稍大，通体褐色，下体满布深色纵纹，腰部白色十分突出，飞行时特别明显。虹膜黄色，喙铅灰色，脚黄色。,主要以小型鸟类、鼠类、蛙、蜥蜴和大型昆虫等动物性食物为食。栖息于平原和低山丘陵地带，尤其是平原上的湖泊、沼泽、河谷、草原、荒野，以及低山、林间沼泽和草地、农田耕地、沿海沼泽和芦苇塘等开阔地区。,当阳。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/ac2a7da6-8eae-4004-9ab7-820828771623.jpeg
73,鸟纲,鹰形目,鹰科,白腹鹞,Eastern Marsh Harrier,雄鸟上体灰色至黑色，翅膀除初级飞羽黑色外亦为灰色，头顶、上背及前胸具黑褐色纵纹，尾上覆羽白色，尾羽银灰色。“日本型”雌鸟体羽深褐色，头顶、颈背、喉及前翼缘皮黄色，头顶及颈背具深褐色纵纹。“大陆型”雌鸟似白头鹞雌鸟，除头部外，胸部、初级飞羽亦具有浅色区，无横斑，尾上覆羽无白色区或为较窄污白色羽区，与白尾鹞相区别。虹膜黄色，喙灰色，脚黄色。,以小型鸟类、啮齿类动物、蛙、蜥蜴、小型蛇类和大的昆虫为食。栖息和活动在沼泽、芦苇塘、江河与湖泊沿岸等较潮湿而开阔的地方。,枝江。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/0b136bc8-3cc7-45fa-b07c-31009793503b.jpeg
74,鸟纲,鹰形目,鹰科,鹊鹞,Pied Harrier,体型较小，双翅细长，雄性头、颈、上背和前胸黑色，上体余部、翅膀及尾灰色，但初级飞羽末端和覆羽黑色。雌性上体暗褐色，内侧飞羽具黑色横斑，尾羽灰色，端斑浅黑色，并具有几条平行的横斑。虹膜黄色，喙角质黄色，脚黄色。,以小鸟、鼠类、林蛙、蜥蜴、蛇、昆虫等小型动物为食。栖息于开阔的低山丘陵和山脚平原、草地、旷野、河谷、沼泽、林缘灌丛和沼泽草地，繁殖期后有时也到农田耕地、村庄附近的草地和丛林中活动。,五峰。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/712ef3d0-b337-44b5-b339-d76780449a09.jpeg
75,鸟纲,鸮形目,鸱鸮科,领角鸮,Collared Scops Owl,体羽偏灰色或染褐色，体型略大，具浅沙色的颈圈，以此区别于其他角鸮。上体偏灰色或沙褐色，并具黑色与皮黄色杂纹或斑块，下体灰色，有细密底纹和黑色纵纹。虹膜深褐色，喙黄色，脚沾黄色。,生活在多种环境中，喜开阔林地或林缘，甚至在城市林荫道或花园中繁殖。白天隐匿，夜晚活跃，多从低处的栖枝扑至地面捕食。繁殖季节鸣叫声频繁。,夷陵区、枝江、远安、五峰、长阳。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",舒仁庆,https://data.yichang.gov.cn/karma/pic/e9276d4c-c0e6-46e2-8653-cd3ca67efce1.jpeg
76,鸟纲,鸮形目,鸱鸮科,红角鸮,Oriental Sco-ps Owl,全身灰褐色，眼黄色，区别于领角鸮的深色。胸部布满黑色条纹，区别于黄嘴角鸮。另外，较纵纹角鸮色深而体型较小，条纹下体多而上体少，分布区不重叠，也有灰色型和棕色型之分。虹膜橙黄色，喙角质灰色，脚偏灰色。,喜栖息于低地开阔林区，包括园林绿地。白天藏身于针叶树丛中静止不动，受惊时身体挺直而耳羽簇竖立。夜晚在林缘、林中空地及次生植丛的小矮树上捕食。,五峰、夷陵区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",舒仁庆,https://data.yichang.gov.cn/karma/pic/b8e091c2-f5df-4925-b012-ea6e7be54ecc.jpeg
77,鸟纲,鸮形目,鸱鸮科,雕鸮,Eurasian Eagle Owl,体大，耳簇羽长，眼橘黄色，大而圆，颏至前胸污白色而少纹，胸部黄色，多具深褐色纵纹，且每片羽毛均具褐色横斑。体羽褐色斑驳，脚被羽至趾。虹膜橙黄色，喙灰色，脚黄色。,繁殖季节多栖于有林山区，营巢于崖壁凹处或洞穴内。飞行迅速，振翅幅度大。冬季也出现在开阔原野，甚至城市园林中。,远安、夷陵区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",李风,https://data.yichang.gov.cn/karma/pic/eb72f6b5-4d63-4e73-85da-faf82f531251.jpeg
78,鸟纲,鸮形目,鸱鸮科,褐渔鸮,Brown Fish Owl,棕褐色，腿长，具耳羽簇，颏淡黄色，无浅色眉，以此区别于雕鸮。上体具黑白色纵纹，下体底皮黄色并密布深褐色细纹和黑色纵纹，脚裸露不被羽毛。虹膜黄色，喙灰色，脚灰色。,栖息于森林有浓荫遮蔽的河流中。飞行缓慢，两腿下悬。半昼活动，捕鱼为食。,历史文献记载，无观测记录。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",拍信文创,https://data.yichang.gov.cn/karma/pic/0a0337eb-803a-4448-98c2-69fbc6b055aa.jpeg
79,鸟纲,鸮形目,鸱鸮科,斑头鸺鹠,Asian Barred Owlet,"为小型鸮类，体长20—26cm,是鸺鹠中个体最大者。面盘不明显，无耳羽簇。体羽褐色，头和上下体羽均具细的白色横斑。腹白色，下腹和肛周具宽阔的褐色纵纹，喉具一显著的白色斑。",栖息于从平原、低山丘陵到海拔2000m左右的中山地带的阔叶林、混交林、次生林和林缘灌丛。大多在白天活动和觅食，能像鹰一样在空中捕捉小鸟和大型昆虫。主要以各种昆虫和幼虫为食，也吃鼠类、小鸟、蚯蚓、蛙和蜥蜴等动物。,夷陵区、兴山、秭归、枝江、当阳、远安、五峰、长阳、宜都、宜昌城区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",舒仁庆,https://data.yichang.gov.cn/karma/pic/7d6b1565-b7dd-4531-b8ae-630841eab2d9.jpeg
80,鸟纲,鸮形目,鸱鸮科,领鸺鹠,Collared Owlet,体型甚小，形圆而多横斑，无耳羽簇，颈圈浅色，头顶灰色，具白色或皮黄色的小型“眼状斑”。颈背有一对中间黑色而以棕白色为边缘的假眼，上体浅褐色而具橙黄色横斑，喉白色而有褐色横斑。胸及腹部皮黄色，具黑色横斑。腿及臀白色，并有褐色纵纹。虹膜黄色，喙角质色，脚灰色。,生活在海拔800—3500m的各类森林中，昼夜栖于高树上，夜行性，由突出的栖木上出猎捕食，飞行时振翼极快。繁殖季节白天也外出捕食。,长阳。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",李风,https://data.yichang.gov.cn/karma/pic/ebd72546-fecf-4c6b-9d51-b31ddbb1ab20.jpeg
81,鸟纲,鸮形目,鸱鸮科,鹰鸮,Brown Boobook,头圆，面盘及头部色深，无明显色斑。上体深褐色，肩部两边各有一列白斑。下体白色或染皮黄色，具宽阔的红褐色纵纹。臀、颏及喙基部色浅。虹膜亮黄色，喙蓝灰色，蜡膜绿色，脚黄色。,黄昏至夜间活动于林缘地带，飞行追捕空中昆虫和蝙蝠，有时以家族群为单位活动。,夷陵区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",舒仁庆,https://data.yichang.gov.cn/karma/pic/14796be4-c177-4138-9e32-e1642d863459.jpeg
82,鸟纲,鸮形目,鸱鸮科,短耳鸮,Short-eared Owl,面盘显著，短小的耳羽簇于野外不易见到，短小耳羽与暗色眼圈使其区别于长耳鸮。上体黄褐色，满布黑色和皮黄色纵纹。下体皮黄色，具深褐色纵纹。翼长，飞行时黑色的腕斑易见。虹膜黄色，喙深灰色，脚偏白色。,主要以鼠类为食，也吃小鸟、蜥蜴、昆虫等，偶尔也吃植物的果实和种子。栖息于开阔近水的草地上。,历史文献记载，无观测记录。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",拍信文创,https://data.yichang.gov.cn/karma/pic/308e36b8-48b8-40ab-b68e-892bef81bad8.jpeg
83,鸟纲,鸮形目,鸱鸮科,长耳鸮,Long-eared Owl,耳羽簇耸立明显，面盘皮黄色而缘为褐色及白色，喙以上的面盘中央部位浅黄色区域形成明显的“X”形，较长的耳羽簇使其明显区别于短耳鸮。上体褐色，具深浅斑驳的条纹斑块。下体皮黄色，具棕色底纹和褐色纵纹。虹膜橙黄色；喙角质灰色；脚偏粉色，被羽。,食物以各种鼠类为主，还包括小型鸟类。营巢于针叶林中的鸟鸦巢穴里。夜行性，飞行从容，振翼如鸥。,历史文献记载，无观测记录。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",拍信文创 李风,https://data.yichang.gov.cn/karma/pic/dc39ae85-e263-460f-b39d-867579872335.jpeg
84,鸟纲,鸮形目,鸱鸮科,纵纹腹小鸮,Little Owl,无耳羽簇，头顶平，眉色浅，白色髭纹宽阔。上体褐色，具白色纵纹及点斑。下体白色，具褐色杂斑及纵纹。肩上有两道白色或皮黄色的横斑。虹膜亮黄色，喙角质黄色，脚被白色羽。,常于地面活动，喜开阔原野。部分昼行性，静立时常为周围响动吸引，快速机械地点头或转动。多数时间蹲坐，有时以长腿高高站起，飞行时上下起伏似啄木鸟，扑翅快。常立于开阔地带中的篱笆、电线上。,历史文献记载，无观测记录。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",舒仁庆,https://data.yichang.gov.cn/karma/pic/aff0ebd2-8fc6-4045-85eb-c8ddc22af023.jpeg
85,鸟纲,鸮形目,鸱鸮科,灰林鸮,Tawny Owl,无耳羽簇，通体具浓褐色的杂斑及纵纹，也有偏灰色个体，上体肩部有白斑。南方个体腹部色深有点斑，北方个体腹部色浅有纵纹。虹膜深褐色，喙黄色，脚黄色。,生活于低山至中山的各类林地中，有时还在城市绿地活动。夜行性，白天通常在隐蔽的地方休息，晚上外出捕食。在树洞营巢。,夷陵区、五峰、点军区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",舒仁庆,https://data.yichang.gov.cn/karma/pic/9051af4b-5ec2-4cf9-ab37-67905572001c.jpeg
86,鸟纲,鸮形目,鸱鸮科,褐林鸮,Brown Wood Owl,全身满布红褐色横斑，眼极大，眼周深褐色，无耳羽簇，眉白色，面盘分明。下体皮黄色且具深褐色的细横纹。胸染巧克力色。上体深褐色，皮黄色及白色横斑浓重。虹膜深褐色，喙偏白色，脚蓝灰色。,栖息于南方低山亚热带原生林中。夜行性。白天遭打扰时体羽缩紧静立，拟态如朽木，眼睁开。常成对活动。,历史文献记载，无观测记录。,国家二级重点保护野生动物，CITES附录Ⅱ，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/cf6e9f55-2b14-48c2-8971-4bfcbd6c1635.jpeg
87,鸟纲,鸮形目,草鸮科,草鸮,Eastern Grass Owl,头圆而脸平，特征性的白色面盘宽而呈心形，似仓鸮。全身多具点斑、杂斑或蠕虫状细纹，但脸及胸部的皮黄色甚深。上体深褐色。虹膜褐色，喙米黄色，脚略白。,栖息于开阔的高草地上，常在地面营巢，习性不同于仓鸮。,历史文献记载，无观测记录。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等
级属无危。",图虫创意,https://data.yichang.gov.cn/karma/pic/3f4d4464-d65a-47a7-be3e-884d7e6f13e3.jpeg
88,鸟纲,佛法僧目,蜂虎科,蓝喉蜂虎,Blue-throated Bee-eater,以蓝色喉为特征。成鸟头顶及上背栗棕色，过眼线黑色，翼蓝绿色，腰至尾羽浅蓝色，下体浅绿色，尾下覆羽有时发自色。亚成鸟尾羽无延长，头及上背绿色。虹膜红色或褐色，喙黑色，脚灰或褐色。,喜栖息于多水低地的开阔原野和林地边缘，繁殖期结小群聚集于多沙地带，不如栗喉蜂虎结群庞大，亦不如其活跃好动。,秭归、远安、夷陵区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",胡光文,https://data.yichang.gov.cn/karma/pic/4ae3657c-ede6-45a8-9d6e-db826ffab264.jpeg
89,鸟纲,佛法僧目,翠鸟科,白胸翡翠,White-throated Kingfisher,上体蓝而下体褐，颏、喉及胸部白色，头、颈及下体余部褐色。上背、翼及尾蓝色泛光，翼上覆羽上部及翼端黑色。飞行时可见初级飞羽浅色，主干部分形成大亮斑。虹膜深褐色，喙深红，脚红色。亚成鸟喙黑色，前端浅黄色。,以鱼、虾、蛙类为食，捕食于旷野、河流、池塘及海边。,枝江。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",李风,https://data.yichang.gov.cn/karma/pic/88a94ece-0c5d-4198-a1d5-b569b22091da.jpeg
90,鸟纲,隼形目,隼科,燕隼,Eurasian Hobby,雄鸟头顶、眼后黑色，且延伸到枕后与深色上体相连，具白色眉纹，眼下具粗黑色髭纹。脸颊、颏、喉及胸腹白色，胸腹部具黑色纵纹。上体包括两翼深灰黑色或黑色，下腹、腿及臀羽栗红色。雌鸟似雄鸟，但偏褐色，下腹和尾下覆羽也具黑色细纵纹。虹膜黑褐色而具黄色眼圈；喙蓝灰色且尖端黑色，喙基具黄色蜡膜；跗跖黄色。,多栖息于有稀树和灌木的开阔生境，也见于林缘地带。常以小型鸟类和昆虫为食，捕食于空中，飞行敏捷。,夷陵区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",拍信文创,https://data.yichang.gov.cn/karma/pic/eedc390e-1002-4f5e-8f6a-3f7f58c4f9d5.jpeg
91,鸟纲,隼形目,隼科,红脚隼,Amur Falcon,"雄鸟头及上体深烟灰色，下体浅灰色，尾下覆羽灰色，下腹及臀羽栗红色。雄鸟翼下覆羽白色，仅飞羽黑色。雌鸟上体深烟灰色具鳞状横纹，头部灰色，脸颊白色，具深灰色髭纹，颏、喉白色，上胸具黑色纵纹，下胸至腹部白色，具黑色矛状横斑，下腹和臀部染棕色，尾羽具黑色横斑，翼下覆羽白色且具黑色斑点。虹膜黑褐色，具橘红色眼圈；喙橘红色且尖端深色，喙基具橘红色蜡膜；跗跖橘红
色。",栖息于开阔生境，行动敏捷，主要以昆虫和小型啮齿类动物为食。迁徙季节常数百只集群迁徙，有时也与其他隼类混群。,夷陵区、枝江。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",拍信文创,https://data.yichang.gov.cn/karma/pic/52bf0762-8b39-4372-9ba9-13d6912736b9.jpeg
92,鸟纲,隼形目,隼科,游隼,Peregrine Falcon,体型大，雌雄羽色相似，体羽根据亚种不同而多变。上体及尾部深灰黑色，尾部具黑褐色横斑，头部黑色。颏、喉白色且具白色半领环，部分亚种半领环自后颊向耳后延伸而形成宽阔的黑色髭纹(斑块)。胸腹白色至深棕红色，且具黑色纵纹或横纹。两腿具黑色横纹。虹膜黑褐色，具黄色眼圈；喙灰色且尖端深色，喙基具黄色或黄白色蜡膜；跗跖黄色。,分布广泛，但并不常见。多见单独或成对活动，栖息于各种开阔生境。主要以中小型鸟类，特别是鸠鸽科鸟类为食，也捕食小型雁鸭和啮齿类动物。多捕食于空中，飞行速度极快且空中动作不断变换。其飞行姿态和捕食过程极具观赏性。,枝江、夷陵区、宜都、秭归、长阳、五峰、当阳、远安、兴山、宜昌城区。,"国家二级重点保护野生动物，CITES附录I,IUCN等级属近危。",雷吉平,https://data.yichang.gov.cn/karma/pic/12e9df8c-48f7-4919-be41-74fba07178d3.jpeg
93,鸟纲,隼形目,隼科,红隼,Common Kestrel,雄鸟脸颊和颏、喉苍白色，头顶至后枕灰色，眼后具短的黑色眉纹，眼下具长而明显的黑色髭纹，上背浅红褐色并具黑色横斑或鳞状斑，飞羽黑色，尾羽蓝灰色具宽阔的黑色次端斑或不显著的白色端斑，下体浅红褐色而具黑色纵纹，下腹至臀红色较深而无斑纹。雌鸟脸颊纹路同雄鸟，头部和上体暗红褐色且具宽阔的黑褐色横纹，尾羽同上背颜色且具黑色次端斑和白色端斑，下体棕黄色并具粗黑色纵纹。虹膜黑褐色具明黄色眼圈；喙蓝灰色而尖端黑色，喙基具黄色蜡膜；跗跖明黄色。,常单独或成对活动于多草和低矮植被的开阔地带，停栖于电线、树桩、枯枝等显眼位置。利用视觉捕食，食物为啮齿类和两栖爬行类动物。,枝江。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",拍信文创,https://data.yichang.gov.cn/karma/pic/3007beb1-2eea-4de0-98aa-a8a2bef0477d.jpeg
94,鸟纲,雀形目,八色鸫科,仙八色鸫,Fairy Pitta,雌雄体色相似。色彩艳丽，具乳黄色眉纹和较粗的黑色贯眼纹，顶冠纹黑色，上背翠绿色，喉至下体淡黄白色，尾下覆羽至上腹红色。两翼、腰及尾上覆羽且具天蓝色斑块，下体色浅。虹膜褐色，喙黑色，脚肉粉色。,栖息于热带和亚热带森林中，也偶见于林缘和灌丛。多成对或单独活动，取食于地面，是我国分布最广的八色鸫。,夷陵区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",拍信文创,https://data.yichang.gov.cn/karma/pic/a322baa9-b0f0-4010-a893-5247d5f5e419.jpeg
95,鸟纲,雀形目,山雀科,红腹山雀,Rusty-breasted Tit,头顶及喉部黑色，脸颊白色，上体橄榄灰色，下体棕红色。虹膜深色，喙黑色，脚铅黑色。,栖息于海拔2000m以上的高山针叶林和竹林中。,历史文献记载，无观测记录。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/4b40bf46-d786-4c24-8814-7797474920d5.jpeg
96,鸟纲,雀形目,百灵科,云雀,Eurasian Skylark,身体灰褐色，头具冠羽，眉纹白色或棕白色，面颊栗色，最外侧一对尾羽白色，翼后缘白色。虹膜暗褐色，喙黑褐色，脚肉色。,栖息于开阔的平原、草地、沼泽、农田等生境。常高空振翅飞行时鸣唱，然后急趋直下。,当阳、枝江、夷陵区、宜都。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/88487131-ee9b-4344-ad66-46cb9d72de71.jpeg
97,鸟纲,雀形目,莺鹛科,白眶鸦雀,Spectacled Parrotbill,体型略小，头顶至后颈栗褐色，下颊至下体粉褐色，上体、两翼及尾上覆羽棕褐色。似棕头鸦雀，但喙颜色更浅，且具明显的白色眼眶。虹膜黑褐色，喙肉黄色，脚角质黄色至粉褐色。,见于中高海拔山地的林缘灌丛、竹林和草丛中，常成对或集小群活动，性活泼，有时与其他鸟类混群。,兴山。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,图虫创意,https://data.yichang.gov.cn/karma/pic/0fefb5d1-d95b-448e-a08a-ee55ad02514f.jpeg
98,鸟纲,雀形目,莺鹛科,金胸雀鹛,Golden-breasted Fulvetta,头、喉、胸和后颈黑色，具白色顶冠纹和白色絮状耳斑，上背橄榄绿色，下胸至腹和尾下覆羽橙黄色而不同于其他雀鹛，两翼黑色具橙色翼斑，初级飞羽羽缘橙黄色，次级飞羽羽缘白色，尾羽黑色，两侧基部橙红色。虹膜黑色，喙角质灰色，脚粉色。,见于中高海拔的常绿阔叶林、针阔混交林和针叶林下的灌丛及竹林中。常集小群活动，与其他鹛类混群，活动敏捷而多动。,夷陵区、五峰、兴山。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,图虫创意,https://data.yichang.gov.cn/karma/pic/f1b34671-f986-4fdd-9fce-3930d715a4ec.jpeg
99,鸟纲,雀形目,绣眼鸟科,红胁绣眼鸟,Chestnut-flanked White-eye,头及上背体羽橄榄绿色且具明显白色眼圈，眼先深色，喉部黄色，胸腹部白色且胸部灰色较重，两胁橙红色而不同于其他绣眼鸟，尾下覆羽明黄色。虹膜红褐色，喙蓝灰色，脚灰黑色。,繁殖季节栖息于高纬度低山、丘陵及平原地带的阔叶林和次生林中，迁徙季节见于公园、苗圃、果园、林地等多种生境。多集小群活动于树冠层，常觅食于多花的乔木或灌丛中。,夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/0ff5334c-7117-4059-9dda-8f85a8b6c52e.jpeg
100,鸟纲,雀形目,噪鹛科,画眉,Hwamei,通体棕褐色而具细黑色纵纹，头顶纵纹明显，具白色眼圈且在眼后形成眼纹，延长至耳部。眼周具少量浅蓝色裸皮，下腹灰白色。虹膜浅黄褐色；上喙角质灰色，下喙牙黄色；脚粉褐色。,栖息于南方低海拔森林中，性隐匿而擅鸣唱，是中国面临捕捉压力最大的鸟类之一。,枝江、夷陵区、宜都、秭归、长阳、五峰、当阳、远安、兴山、宜昌城区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/bc8dd580-92cb-480b-9be6-ec7f17db0a8e.jpeg
101,鸟纲,雀形目,噪鹛科,黑喉噪鹛,Black-throated Laughingthrush,头顶、颈侧、胸腹深灰色，后枕灰色和棕色，前额、颏、喉至上胸具狭窄的黑色区域，前额黑色羽上方具少量白色羽，贯眼纹黑色，两侧下颊和耳后具白色椭圆斑，上体、两翼至尾上覆羽棕褐色。,常单独或成小群栖息于中低海拔的季雨林、阔叶林和竹林，也见于村落、田野和荒地周边的灌丛中。地栖性，活动于植被中下层，鸣声婉转悦耳。,历史文献记载，无观测记录。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/3ee538b1-d7a2-48f7-870e-9ac99981db79.jpeg
102,鸟纲,雀形目,噪鹛科,橙翅噪鹛,Elliot's Laughingthrush,通体褐色，脸部褐色较深具黑色眉纹，两翼暗褐色具橙黄色翅斑，尾羽楔形且具白色端斑，尾下覆羽栗红色。与其他两翼飞羽具橙色斑的噪鹃区别在于头纯色而无浅色条纹或色块。虹膜黄白色，喙角质黑色，脚粉褐色。,常见成对或集小群活动于中高海拔山地的林缘灌丛、竹林和近林开阔地，觅食于林下和地表。性活泼而声喧闹，不甚怕人，常见且易发现，有时与其他噪鹛类混群。,夷陵区、兴山、五峰、长阳。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/a3903a8b-2575-4c60-bc38-6c430c29adbe.jpeg
