xh,px,xsq,bynd,bysj
1,1,五峰县,41,2024年1月
2,2,兴山县,44,2024年1月
3,3,秭归县,49,2024年1月
4,4,远安县,52,2024年1月
5,5,长阳县,63,2024年1月
6,6,*猇亭区,67,2024年1月
7,7,当阳市,68,2024年1月
8,8,枝江市,71,2024年1月
9,9,*点军区,74,2024年1月
10,10,*西陵区,75,2024年1月
11,11,宜都市,76,2024年1月
12,12,*夷陵区,76,2024年1月
13,13,*伍家岗区,80,2024年1月
14,14,*高新区,81,2024年1月
15,,国家考核区域,75,2024年1月
16,,全市平均,66,2024年1月
17,1,五峰县,30,2024年2月
18,2,兴山县,31,2024年2月
19,3,远安县,34,2024年2月
20,4,秭归县,34,2024年2月
21,5,长阳县,42,2024年2月
22,6,*猇亭区,44,2024年2月
23,7,当阳市,46,2024年2月
24,8,宜都市,47,2024年2月
25,9,*西陵区,49,2024年2月
26,10,*点军区,50,2024年2月
27,11,*伍家岗区,51,2024年2月
28,12,*夷陵区,52,2024年2月
29,13,*高新区,55,2024年2月
30,14,枝江市,56,2024年2月
31,,国家考核区域,50,2024年2月
32,,全市平均,44,2024年2月
33,1,五峰县,29,2024年3月
34,2,兴山县,30,2024年3月
35,3,远安县,34,2024年3月
36,4,秭归县,38,2024年3月
37,5,长阳县,41,2024年3月
38,6,当阳市,46,2024年3月
39,7,宜都市,48,2024年3月
40,8,*点军区,50,2024年3月
41,9,*夷陵区,50,2024年3月
42,10,*猇亭区,51,2024年3月
43,11,*西陵区,52,2024年3月
44,12,枝江市,53,2024年3月
45,13,*伍家岗区,54,2024年3月
46,14,*高新区,56,2024年3月
47,,国家考核区域,52,2024年3月
48,,全市平均,45,2024年3月
49,1,五峰县,15,2024年4月
50,2,远安县,20,2024年4月
51,3,兴山县,20,2024年4月
52,4,长阳县,24,2024年4月
53,5,秭归县,25,2024年4月
54,6,*点军区,26,2024年4月
55,7,当阳市,27,2024年4月
56,8,*夷陵区,28,2024年4月
57,9,*高新区,29,2024年4月
58,10,*西陵区,30,2024年4月
59,11,*猇亭区,30,2024年4月
60,12,枝江市,32,2024年4月
61,13,*伍家岗区,32,2024年4月
62,14,宜都市,32,2024年4月
63,,国家考核区域,29,2024年4月
64,,全市平均,26,2024年4月
65,1,五峰县,16,2024年5月
66,2,兴山县,18,2024年5月
67,3,远安县,20,2024年5月
68,4,当阳市,21,2024年5月
69,5,长阳县,25,2024年5月
70,6,秭归县,26,2024年5月
71,7,*西陵区,28,2024年5月
72,8,*夷陵区,28,2024年5月
73,9,宜都市,29,2024年5月
74,10,*猇亭区,29,2024年5月
75,11,*点军区,30,2024年5月
76,12,*伍家岗区,31,2024年5月
77,13,*高新区,31,2024年5月
78,14,枝江市,32,2024年5月
79,,国家考核区域,29,2024年5月
80,,全市平均,26,2024年5月
81,1,五峰县,13,2024年6月
82,2,兴山县,15,2024年6月
83,3,当阳市,16,2024年6月
84,4,长阳县,17,2024年6月
85,5,远安县,17,2024年6月
86,6,*点军区,20,2024年6月
87,7,*猇亭区,21,2024年6月
88,8,枝江市,21,2024年6月
89,9,*夷陵区,22,2024年6月
90,10,*西陵区,22,2024年6月
91,11,秭归县,23,2024年6月
92,12,宜都市,23,2024年6月
93,13,*伍家岗区,24,2024年6月
94,14,*高新区,24,2024年6月
95,,国家考核区域,22,2024年6月
96,,全市平均,20,2024年6月
97,1,长阳县,7,2024年7月
98,2,当阳市,7,2024年7月
99,3,五峰县,8,2024年7月
100,4,兴山县,8,2024年7月
101,5,*猇亭区,9,2024年7月
102,6,*点军区,9,2024年7月
103,7,远安县,10,2024年7月
104,8,*西陵区,11,2024年7月
105,9,秭归县,11,2024年7月
106,10,*夷陵区,11,2024年7月
107,11,宜都市,12,2024年7月
108,12,枝江市,12,2024年7月
109,13,*伍家岗区,13,2024年7月
110,14,*高新区,13,2024年7月
111,,国家考核区域,11,2024年7月
112,,全市平均,10,2024年7月
113,1,五峰县,11,2024年8月
114,2,*夷陵区,12,2024年8月
115,3,兴山县,12,2024年8月
116,4,长阳县,13,2024年8月
117,5,远安县,13,2024年8月
118,6,*点军区,14,2024年8月
119,7,*猇亭区,15,2024年8月
120,8,*西陵区,16,2024年8月
121,9,秭归县,16,2024年8月
122,10,枝江市,18,2024年8月
123,11,宜都市,18,2024年8月
124,12,*伍家岗区,18,2024年8月
125,13,*高新区,19,2024年8月
126,14,当阳市,22,2024年8月
127,,国家考核区域,16,2024年8月
128,,全市平均,16,2024年8月
129,1,兴山县,17,2024年9月
130,2,五峰县,18,2024年9月
131,3,远安县,19,2024年9月
132,4,*夷陵区,22,2024年9月
133,5,长阳县,24,2024年9月
134,6,*猇亭区,24,2024年9月
135,7,秭归县,24,2024年9月
136,8,*点军区,24,2024年9月
137,9,*西陵区,25,2024年9月
138,10,*伍家岗区,27,2024年9月
139,11,宜都市,29,2024年9月
140,12,*高新区,30,2024年9月
141,13,当阳市,31,2024年9月
142,14,枝江市,34,2024年9月
143,,国家考核区域,25,2024年9月
144,,全市平均,25,2024年9月
145,1,五峰县,15,2024年10月
146,2,兴山县,17,2024年10月
147,3,远安县,21,2024年10月
148,4,秭归县,23,2024年10月
149,4,*夷陵区,26,2024年10月
150,4,长阳县,26,2024年10月
151,4,*点军区,26,2024年10月
152,4,*西陵区,26,2024年10月
153,4,*猇亭区,26,2024年10月
154,10,*高新区,28,2024年10月
155,11,*伍家岗区,29,2024年10月
156,12,当阳市,31,2024年10月
157,13,宜都市,33,2024年10月
158,14,枝江市,35,2024年10月
159,,国家考核区域,27,2024年10月
160,,全市平均,26,2024年10月
161,1,兴山县,21,2024年11月
162,2,五峰县,23,2024年11月
163,3,远安县,24,2024年11月
164,4,当阳市,30,2024年11月
165,5,秭归县,32,2024年11月
166,6,西陵区,36,2024年11月
167,6,长阳县,36,2024年11月
168,6,点军区,36,2024年11月
169,7,夷陵区,37,2024年11月
170,8,伍家岗区,38,2024年11月
171,8,猇亭区,38,2024年11月
172,8,高新区,38,2024年11月
173,9,枝江市,39,2024年11月
174,10,宜都市,46,2024年11月
175,,国家考核区域,37,2024年11月
176,,全市平均,34,2024年11月
177,1,兴山县,42,2024年12月
178,1,远安县,42,2024年12月
179,2,五峰县,50,2024年12月
180,3,秭归县,51,2024年12月
181,4,*猇亭区,58,2024年12月
182,5,长阳县,59,2024年12月
183,6,枝江市,60,2024年12月
184,7,*点军区,62,2024年12月
185,7,当阳市,62,2024年12月
186,8,*夷陵区,63,2024年12月
187,8,*西陵区,63,2024年12月
188,9,*伍家岗区,67,2024年12月
189,10,宜都市,69,2024年12月
190,11,*高新区,74,2024年12月
191,,国家考核区域,65,2024年12月
192,,全市平均,59,2024年12月
193,1,兴山县,48,2025年1月
194,2,五峰县,55,2025年1月
195,3,秭归县,67,2025年1月
196,4,远安县,68,2025年1月
197,5,*猇亭区,79,2025年1月
198,6,枝江市,80,2025年1月
199,7,当阳市,81,2025年1月
200,8,*西陵区,85,2025年1月
201,9,*夷陵区,86,2025年1月
202,9,长阳县,86,2025年1月
203,10,*点军区,90,2025年1月
204,11,宜都市,92,2025年1月
205,12,*伍家岗区,94,2025年1月
206,13,*高新区,97,2025年1月
207,,主城区平均,88,2025年1月
208,,全市平均,79,2025年1月
209,1,兴山县,33,2025年2月
210,2,五峰县,34,2025年2月
211,3,秭归县,41,2025年2月
212,4,远安县,43,2025年2月
213,5,当阳市,47,2025年2月
214,6,长阳县,49,2025年2月
215,7,*点军区,50,2025年2月
216,8,枝江市,52,2025年2月
217,9,*猇亭区,53,2025年2月
218,10,*伍家岗区,55,2025年2月
219,10,*夷陵区,55,2025年2月
220,10,*西陵区,55,2025年2月
221,11,宜都市,56,2025年2月
222,12,*高新区,63,2025年2月
223,,国家考核区域,56,2025年2月
224,,全市平均,49,2025年2月
225,1,五峰县,25,2025年3月
226,1,兴山县,25,2025年3月
227,2,远安县,27,2025年3月
228,3,*点军区,32,2025年3月
229,3,秭归县,32,2025年3月
230,4,长阳县,34,2025年3月
231,4,当阳市,34,2025年3月
232,5,*西陵区,37,2025年3月
233,5,*夷陵区,37,2025年3月
234,6,*高新区,39,2025年3月
235,7,宜都市,40,2025年3月
236,8,*伍家岗区,41,2025年3月
237,9,*猇亭区,42,2025年3月
238,9,枝江市,42,2025年3月
239,,国家考核区域,37,2025年3月
240,,全市平均,35,2025年3月
241,1,五峰县,23,2025年4月
242,2,远安县,24,2025年4月
243,3,兴山县,25,2025年4月
244,4,*点军区,28,2025年4月
245,5,*夷陵区,29,2025年4月
246,5,长阳县,29,2025年4月
247,6,秭归县,31,2025年4月
248,7,*西陵区,32,2025年4月
249,8,*猇亭区,34,2025年4月
250,8,宜都市,34,2025年4月
251,8,*高新区,34,2025年4月
252,9,*伍家岗区,36,2025年4月
253,9,枝江市,36,2025年4月
254,10,当阳市,40,2025年4月
255,,国家考核区域,32,2025年4月
256,,全市平均,31,2025年4月
257,1,五峰县,19,2025年5月
258,2,兴山县,23,2025年5月
259,3,*夷陵区,25,2025年5月
260,4,*西陵区,26,2025年5月
261,5,远安县,26,2025年5月
262,6,*点军区,27,2025年5月
263,7,长阳县,27,2025年5月
264,8,秭归县,27,2025年5月
265,9,*猇亭区,29,2025年5月
266,10,宜都市,30,2025年5月
267,11,*伍家岗区,30,2025年5月
268,12,当阳市,31,2025年5月
269,13,*高新区,31,2025年5月
270,14,枝江市,36,2025年5月
271,,国家考核区域,28,2025年5月
272,,全市平均,28,2025年5月
273,1,五峰县,10,2025年6月
274,2,*夷陵区,10,2025年6月
275,3,*西陵区,12,2025年6月
276,4,长阳县,12,2025年6月
277,5,当阳市,13,2025年6月
278,6,兴山县,13,2025年6月
279,7,*点军区,13,2025年6月
280,8,*伍家岗区,13,2025年6月
281,9,*猇亭区,14,2025年6月
282,10,远安县,14,2025年6月
283,11,秭归县,15,2025年6月
284,12,宜都市,16,2025年6月
285,13,*高新区,17,2025年6月
286,14,枝江市,18,2025年6月
287,,国家考核区域,13,2025年6月
288,,全市平均,14,2025年6月
289,1,五峰县,9,2025年7月
290,2,*夷陵区,9,2025年7月
291,3,当阳市,10,2025年7月
292,4,*点军区,10,2025年7月
293,5,*西陵区,10,2025年7月
294,6,远安县,10,2025年7月
295,7,兴山县,11,2025年7月
296,8,长阳县,11,2025年7月
297,9,*猇亭区,12,2025年7月
298,10,*伍家岗区,12,2025年7月
299,11,宜都市,13,2025年7月
300,12,秭归县,13,2025年7月
301,13,枝江市,15,2025年7月
302,14,*高新区,15,2025年7月
303,,国家考核区域,11,2025年7月
304,,全市平均,11,2025年7月
305,1,远安县,8,2025年8月
306,2,五峰县,9,2025年8月
307,3,兴山县,10,2025年8月
308,4,*点军区,10,2025年8月
309,5,长阳县,11,2025年8月
310,6,*夷陵区,11,2025年8月
311,7,*西陵区,12,2025年8月
312,8,当阳市,12,2025年8月
313,9,秭归县,13,2025年8月
314,10,*猇亭区,13,2025年8月
315,11,*伍家岗区,13,2025年8月
316,12,宜都市,14,2025年8月
317,13,*高新区,15,2025年8月
318,14,枝江市,17,2025年8月
319,,国家考核区域,12,2025年8月
320,,全市平均,12,2025年8月
