xh,xzfq,sc,sh,st,dnz,ysnbj,khkj,nf
1,宜都市,1.7891,0.1435,0.0043,1.9369,5,,2015年
2,当阳市,2.9099,0.1859,0.0046,3.1004,-4.3,,2015年
3,枝江市,2.6266,0.1732,0.0055,2.8053,-3,,2015年
4,远安县,1.2083,0.0629,0.0018,1.273,0.8,,2015年
5,兴山县,0.5809,0.0537,0.0015,0.6361,19.5,,2015年
6,秭归县,0.721,0.1137,0.0027,0.8374,2.3,,2015年
7,长阳士家族自治县,0.5293,0.1223,0.0024,0.654,8.1,,2015年
8,五峰士家族自治县,0.3398,0.059,0.0014,0.4002,22.2,,2015年
9,夷陵区,1.7187,0.221,0.0056,1.9453,16.2,,2015年
10,西陵区,0.455,0.3434,0.0119,0.8103,6.5,,2015年
11,伍家岗区,0.3202,0.1446,0.005,0.4698,1.5,,2015年
12,点军区,0.2851,0.0519,0.0015,0.3385,22.5,,2015年
13,猇亭区,1.3632,0.0353,0.0011,1.3996,3.3,,2015年
14,全市,14.8471,1.7104,0.0493,16.6068,3.5,,2015年
15,宜都市,1.8049,0.1864,0.0034,1.9947,3,,2016年
16,当阳市,2.7321,0.2184,0.0095,2.96,-4.5,,2016年
17,枝江市,2.5588,0.2391,0.0038,2.8017,-0.1,,2016年
18,远安县,1.1762,0.0863,0.0038,1.2663,-0.5,,2016年
19,兴山县,0.5758,0.0778,0.0022,0.6558,3.1,,2016年
20,秭归县,0.6383,0.1592,0.0034,0.8009,-4.4,,2016年
21,长阳士家族自治县,0.4563,0.1646,0.0046,0.6255,-4.5,,2016年
22,五峰士家族自治县,0.3149,0.0823,0.0023,0.3995,-0.4,,2016年
23,夷陵区,1.8524,0.244,0.0071,2.1035,8.1,,2016年
24,西陵区,0.4154,0.3121,0.0134,0.7409,-8.6,,2016年
25,伍家岗区,0.2962,0.1314,0.0171,0.4447,-5.3,,2016年
26,点军区,0.2461,0.053,0.0029,0.302,-10.8,,2016年
27,猇亭区,1.3178,0.0343,0.0089,1.361,-2.8,,2016年
28,全市,14.3852,1.9889,0.0824,16.4565,-0.9,,2016年
29,宜都市,1.9817,0.1868,0.0019,2.1704,8.8,,2017年
30,当阳市,2.2507,0.2184,0.0052,2.4743,-16.4,,2017年
31,枝江市,2.8887,0.2397,0.0021,3.1305,11.7,,2017年
32,远安县,0.918,0.0862,0.0017,1.0059,-20.6,,2017年
33,兴山县,0.872,0.0777,0.0012,0.9509,45,,2017年
34,秭归县,0.4362,0.1581,0.0019,0.5962,-25.6,,2017年
35,长阳士家族自治县,0.4616,0.1629,0.0019,0.6264,0.3,,2017年
36,五峰士家族自治县,0.4189,0.0817,0.0013,0.5019,25.9,,2017年
37,夷陵区,1.6856,0.244,0.0041,1.9337,-8.1,,2017年
38,西陵区,0.3243,0.3191,0.0073,0.6507,-12.2,,2017年
39,伍家岗区,0.2732,0.1344,0.0094,0.417,-6.2,,2017年
40,点军区,0.1608,0.0535,0.0016,0.2159,-28.5,,2017年
41,猇亭区,1.0638,0.0349,0.0049,1.1036,-18.9,,2017年
42,全市,13.7355,1.9974,0.0445,15.7774,-4.1,,2017年
43,宜都市,1.9668,0.1883,0.0034,2.1585,-0.5,,2018年
44,当阳市,2.5397,0.2216,0.0095,2.7708,12,,2018年
45,枝江市,3.7749,0.2391,0.0038,4.0178,28.3,,2018年
46,远安县,0.9372,0.0876,0.0038,1.0286,2.3,,2018年
47,兴山县,0.6538,0.0778,0.0021,0.7337,-22.8,,2018年
48,秭归县,0.4705,0.1616,0.0034,0.6355,6.6,,2018年
49,长阳士家族自治县,0.4385,0.1686,0.0047,0.6118,-2.3,,2018年
50,五峰士家族自治县,0.3222,0.0849,0.0024,0.4095,-18.4,,2018年
51,夷陵区,1.5534,0.2505,0.0072,1.8111,-6.3,,2018年
52,西陵区,0.3246,0.3052,0.0134,0.6432,-1.2,,2018年
53,伍家岗区,0.266,0.1299,0.0171,0.413,-1,,2018年
54,猇亭区,0.8858,0.0363,0.0089,0.931,-15.6,,2018年
55,点军区,0.1697,0.0544,0.0029,0.227,5.1,,2018年
56,全市,14.3031,2.0058,0.0826,16.3915,-0.5,,2018年
57,宜都市,1.7439,0.1847,0.0051,1.9337,,,2019年
58,当阳市,2.6582,0.2192,0.0116,2.871,,,2019年
59,枝江市,3.0564,0.2355,0.0123,3.2942,,,2019年
60,远安县,1.2482,0.0862,0.0058,1.3606,,,2019年
61,兴山县,0.6081,0.0766,0.0025,0.6872,,,2019年
62,秭归县,0.4529,0.1583,0.0038,0.615,,,2019年
63,长阳士家族自治县,0.5326,0.1683,0.0043,0.7047,,,2019年
64,五峰士家族自治县,0.3177,0.0847,0.0026,0.4271,,,2019年
65,夷陵区,1.5875,0.2588,0.012,1.8383,,,2019年
66,西陵区,0.379,0.3087,0.0151,0.7028,,,2019年
67,伍家岗区,0.3154,0.1412,0.0192,0.4558,,,2019年
68,猇亭区,0.9171,0.0355,0.01,0.9889,,,2019年
69,点军区,0.1199,0.0563,0.0032,0.1791,,,2019年
70,全市,13.9369,2.014,0.1075,16.0584,,,2019年
71,宜都市,1.4382,0.2306,0.0077,1.6765,-13.3,,2020年
72,当阳市,2.4101,0.1768,0.0494,2.6363,-8.7,,2020年
73,枝江市,2.0452,0.2602,0.4374,2.7428,-20.6,,2020年
74,远安县,0.9391,0.0702,0.007,1.0163,-24.2,,2020年
75,兴山县,0.441,0.0877,0.0089,0.5376,-21.8,,2020年
76,秭归县,0.453,0.1424,0.0082,0.6036,-1.9,,2020年
77,长阳士家族自治县,0.4236,0.1428,0,0.5664,-19.7,,2020年
78,五峰士家族自治县,0.1665,0.0707,0.0198,0.257,-36.5,,2020年
79,夷陵区,1.378,0.3378,0.5931,2.3089,25.6,,2020年
80,西陵区,0.3338,0.324,0.0212,0.679,4,,2020年
81,伍家岗区,0.1863,0.176,0.1783,0.5406,18.6,,2020年
82,猇亭区,1.016,0.0653,0.01,1.0913,24.5,,2020年
83,点军区,0.1697,0.0783,0.0048,0.2528,23.1,,2020年
84,全市,11.4005,2.1628,1.3458,14.9091,-7.2,,2020年
85,宜都市,2.597,0.1984,0.0125,2.8079,67.5,,2021年
86,当阳市,3.5768,0.2268,0.0093,3.8129,44.6,,2021年
87,枝江市,3.7958,0.1988,0.0092,4.0038,46,,2021年
88,远安县,1.2459,0.1108,0.0129,1.3696,34.8,,2021年
89,兴山县,1.2132,0.0577,0.0014,1.2723,136.7,,2021年
90,秭归县,0.9925,0.1753,0.0096,1.1774,95.1,,2021年
91,长阳士家族自治县,1.0384,0.167,0.007,1.2124,114.1,,2021年
92,五峰士家族自治县,0.4876,0.1061,0.0079,0.6016,134.1,,2021年
93,夷陵区,2.0883,0.2775,0.0185,2.3843,3.3,,2021年
94,西陵区,0.3578,0.3726,0.0522,0.7826,15.3,,2021年
95,伍家岗区,0.35,0.1912,0.0633,0.6045,11.8,,2021年
96,猇亭区,0.5904,0.0441,0.0065,0.641,-41.3,,2021年
97,点军区,0.4049,0.0553,0.0372,0.4974,96.8,,2021年
98,全市,18.7386,2.1816,0.2475,21.1677,42,,2021年
99,宜都市,2.4578,0.2085,0.1089,2.7752,-2.8,2.4651,2022年
100,当阳市,3.113,0.2216,0.1711,3.5057,-12.6,3.276,2022年
101,枝江市,3.5295,0.2366,0.2008,3.9669,24.6,3.511,2022年
102,远安县,1.4481,0.0946,0.0735,1.6162,13.6,1.3426,2022年
103,兴山县,1.2211,0.0512,0.002,1.2743,2,0.8859,2022年
104,秭归县,0.8276,0.142,0.0219,0.9915,-15.8,0.9085,2022年
105,长阳士家族自治县,1.0424,0.143,0.0141,1.1995,-1.1,0.9555,2022年
106,五峰士家族自治县,0.416,0.0614,0.011,0.4884,-18.8,0.4148,2022年
107,夷陵区,2.3562,0.2861,2.3997,5.042,10,2.3099,2022年
108,西陵区,0.3552,0.3687,0.363,1.0869,-0.6,0.7869,2022年
109,伍家岗区,2440,0.1928,0.1191,0.5559,-8,0.5209,2022年
110,猇亭区,0.5206,0.0462,0.0493,0.6161,3.9,0.6138,2022年
111,点军区,0.4298,0.0732,0.0492,0.5522,11,0.4721,2022年
112,全市,17.9613,2.1259,3.5836,23.6708,-6.2,18.463,2022年
113,宜都市,2.2653,0.2223,0.096,2.5836,-6.9,2.5486,2023年
114,当阳市,3.0029,0.2406,0.1575,3.401,-3,3.3024,2023年
115,枝江市,3.5524,0.2374,0.1313,3.9211,-1.2,3.8185,2023年
116,远安县,1.2018,0.1029,0.2693,1.574,-2.6,1.3314,2023年
117,兴山县,0.8699,0.0732,0.0053,0.9484,-25.6,0.9483,2023年
118,秭归县,0.764,0.1428,0.0175,0.9243,-6.8,0.9243,2023年
119,长阳土家族自治县,0.7356,0.1355,0.0127,0.8838,-26.3,0.8838,2023年
120,五峰土家族自治县,0.3116,0.069,0.0081,0.3887,-20.4,0.3887,2023年
121,夷陵区,2.0591,0.3217,2.0313,4.4121,-12.5,2.4111,2023年
122,西陵区,0.3338,0.3389,0.3858,1.0585,-2.6,0.7584,2023年
123,伍家岗区,0.2383,0.186,0.1057,0.53,-4.7,0.53,2023年
124,猇亭区,0.6413,0.0494,0.052,0.7427,20.5,0.7427,2023年
125,点军区,0.2587,0.0777,0.0756,0.412,-25.4,0.412,2023年
126,全市,16.2347,2.1974,3.3481,21.7802,-8,19.0003,2023年
127,宜都市,2.6046,0.2278,0.0742,2.9066,12.5,2.7278,2024年
128,当阳市,3.0637,0.2413,0.1387,3.4437,1.3,3.1291,2024年
129,枝江市,4.0104,0.2591,0.1157,4.3852,11.8,3.9883,2024年
130,远安县,1.1999,0.1032,0.1494,1.4525,-7.7,1.287,2024年
131,兴山县,0.9114,0.0757,0.006,0.9931,4.7,0.96,2024年
132,秭归县,0.788,0.139,0.015,0.942,1.9,0.9316,2024年
133,长阳土家族自治县,0.851,0.1369,0.0141,1.002,13.4,0.9797,2024年
134,五峰土家族自治县,0.3226,0.0693,0.009,0.4009,3.2,0.3953,2024年
135,夷陵区,2.3555,0.3233,2.1614,4.8402,9.7,2.6146,2024年
136,西陵区,0.3274,0.3273,0.3689,1.0236,-3.3,0.7238,2024年
137,伍家岗区,0.2385,0.185,0.1184,0.5419,2.2,0.5419,2024年
138,猇亭区,0.5161,0.0409,0.0487,0.6057,-18.4,0.6014,2024年
139,点军区,0.279,0.0854,0.0656,0.43,4.4,0.4245,2024年
140,全市,17.4681,2.2142,3.2851,22.9674,5.5,19.3048,2024年
